analysis_unit_id,disease_name,disease_master_name,analysis_unit,analysis_unit_label,include_as_analysis_unit,host_query_bucket,vectored_status,generalist_status,transmission_complexity,guild,host_sdm_needed,vector_sdm_needed,host_range_rule,vector_range_rule,range_limiting_layer,transmission_rule_notes,transmission_rule_review_status,modelling_scope_status,modelling_scope_reason
master_12,Nipah virus disease,Nipah,Henipavirus nipahense,Nipah virus,yes_existing_who,unmatched,non_vectored,restricted,mixed,bat_reservoir_spillover,yes,no,include_reservoir_hosts_only,no_vector,mixed,WHO/GOV.UK/Pirbright: Pteropus fruit bats reservoir; pigs can amplify in some outbreaks; person-to-person possible.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_13,Hendra,Hendra,Hendra,Hendra,yes,default_clean,non_vectored,restricted,mixed,bat_reservoir_spillover,yes,no,include_reservoir_hosts_only,no_vector,mixed,Queensland Health/CDC: flying fox reservoir; spillover to horses then rarely humans; horse SDM may be exposure layer.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_14,Middle East Respiratory Syndrome (MERS),MERS,Middle East respiratory syndrome-related coronavirus (MERS-CoV),MERS-CoV,yes_existing_who,unmatched,non_vectored,restricted,mixed,livestock_primary_non_vectored,yes,no,include_livestock_hosts,no_vector,livestock_host,WHO/CDC: zoonotic virus transferred from infected dromedary camels; human outbreaks via close contact/healthcare.,reviewed,defer_broad_or_aggregate_unit,Source pathogen Subgenus Merbecovirus is a broad genus/subgenus scope that has been deferred in later role/modelling work; retain rules for audit only.
master_15,Mpox (Monkeypox),Mpox,Orthopoxvirus monkeypox,Monkeypox virus,yes_existing_who,unmatched,non_vectored,uncertain,mixed,direct_contact_or_bite,uncertain,no,uncertain_review,no_vector,uncertain,"WHO: animal reservoir remains unknown; small African mammals may carry virus; current spread often human-to-human, so reservoir SDM needs review.",needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.
master_16,Influenza (H5N1 avian influenza),Avian influenza (H5N1),Alphainfluenzavirus influenzae (H5N1),Influenza A,yes_existing_who,unmatched,non_vectored,host_group_generalist,mixed,avian_reservoir_non_vectored,yes,no,include_primary_amplifying_host_group,no_vector,mixed,"CDC bird flu: avian influenza spreads among birds; human cases mostly after exposure to infected birds/animals; include wild birds/poultry, not human cases.",reviewed,include,Included in current default modelling scope after transmission-rule review.
master_17,Plague,Plague,Yersinia pestis,Yersinia pestis,yes_existing_who,unmatched,mixed_or_indirect,host_group_generalist,mixed,flea_borne_rodent_pathogen,yes,optional,include_reservoir_hosts_only,include_known_vectors_review,mixed,CDC: Y. pestis transmitted by fleas and cycles among wild rodents; humans via flea bite/animal handling; flea SDMs optional if available.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_18,Oropouche fever,Oropouche,Orthobunyavirus oropoucheense,Oropouche virus,yes_existing_who,unmatched,vectored,restricted,complex,midge_borne_arbovirus,uncertain,yes,uncertain_review,include_known_vectors_review,vector,"WHO/CDC: mainly Culicoides paraensis midges, some mosquitoes possible; sylvatic/urban reservoirs incompletely known.",needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.
master_19,Hantavirus pulmonary syndrome,HCPS (hantaviruses),Orthohantavirus sinnombreense,Sinnombre virus,yes_existing_who,unmatched,non_vectored,specialist,simple,rodent_reservoir_direct_or_environmental,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,CDC: Sin Nombre/HPS associated with deer mouse; exposure to aerosolised rodent urine/droppings/saliva.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_20,Argentine hemorrhagic fever,Argentine HF (Junin),Mammarenavirus juninense,Junin virus,yes_existing_who,unmatched,non_vectored,specialist,mixed,rodent_reservoir_direct_or_environmental,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,"UKHSA/CDC EID: Junin reservoir is Calomys corn mice in Argentine pampas; human exposure via rodent excreta, nosocomial spread uncommon.",reviewed,include,Included in current default modelling scope after transmission-rule review.
master_22,Severe Acute Respiratory Syndrome (SARS); COVID-19,Sarbecoviruses (SARS-like),SARS-like bat sarbecoviruses,SARS-like bat sarbecoviruses,yes_existing_who,unmatched,non_vectored,host_group_generalist,mixed,bat_reservoir_spillover,yes,no,include_reservoir_hosts_only,no_vector,mixed,CDC EID/reviews: bat sarbecoviruses with possible intermediate hosts and human-adapted lineages; aggregate unit needs species-level review.,needs_review,defer_broad_or_aggregate_unit,Source pathogen Subgenus Sarbecovirus is a broad genus/subgenus scope that has been deferred in later role/modelling work; retain rules for audit only.
master_23,Tick-borne encephalitis,Tick-borne encephalitis,Orthoflavivirus encephalitidis,Tick-borne encephalitis virus,yes_existing_who,unmatched,vectored,restricted,complex,tick_borne_pathogen,optional,yes,host_sdm_low_value_generalist,vector_sdm_primary_limiter,vector,ECDC: TBEV transmitted by ticks; small rodents are competent reservoirs; unpasteurised dairy route secondary.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_24,Severe fever with thrombocytopenia syndrome (SFTS),SFTS (Bandavirus),Bandavirus dabieense,SFTS virus,yes_existing_who,unmatched,mixed_or_indirect,host_group_generalist,mixed,tick_borne_pathogen,optional,yes,host_sdm_low_value_generalist,include_competent_vectors,vector,"CDC EID/NCID: tick-borne SFTSV, many animal hosts and occasional direct animal/person exposure; reservoirs not cleanly resolved.",needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.
master_25,Venezuelan equine encephalitis,VEE,Alphavirus venezuelan,Venezuelan equine encephalitis virus,yes_existing_who,unmatched,vectored,host_group_generalist,complex,livestock_amplified_vector_borne,yes,yes,include_primary_amplifying_host_group,include_competent_vectors,host_and_vector,"CDC EID/WOAH: VEE maintained in mosquito-vertebrate cycles; equines amplify epidemic subtypes, rodents/wild hosts enzootic.",needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.
master_26,Borna disease (encephalitis),Borna disease,Orthobornavirus bornaense,Mammalian Bornavirus 1 (BoDV-1),yes_existing_who,unmatched,non_vectored,specialist,uncertain,small_mammal_reservoir_direct,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,PLOS/Nature reviews: BoDV-1 reservoir is bicoloured white-toothed shrew; spillover route to horses/humans remains unclear.,needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.
master_27,Lujo hemorrhagic fever,Lujo HF,Mammarenavirus lujoense,Lujo virus,yes_existing_who,unmatched,non_vectored,uncertain,mixed,rodent_reservoir_direct_or_environmental,uncertain,no,uncertain_review,no_vector,not_model_ready,CDC/UKHSA: likely rodent-borne arenavirus but specific reservoir unknown; human-to-human occurred in outbreak.,insufficient_evidence,review_before_modelling,Transmission rule pass marked insufficient_evidence; not model-ready by default.
master_28,Hepatitis E,Hepatitis E (zoonotic),Paslahepevirus balayani genotype 3,Hepatitis E virus,yes_existing_who,unmatched,mixed_or_indirect,restricted,mixed,food_waterborne,optional,no,include_livestock_hosts,no_vector,human_exposure,BfR/reviews: zoonotic HEV-3 widespread in pigs/wild boar; food/contact exposure dominates range more than host SDM alone.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_30,Lyme disease,Lyme disease,Lyme disease,Lyme disease,hold,hold,vectored,host_group_generalist,complex,tick_borne_pathogen,optional,yes,host_sdm_low_value_generalist,vector_sdm_primary_limiter,vector,"CDC: Lyme bacteria spread by Ixodes blacklegged ticks; disease unit aggregates Borrelia spp./regions, so vector layer primary and review retained.",needs_review,exclude_hold,include_as_analysis_unit is hold; retain rule context but exclude from default modelling scope.
master_31,Japanese encephalitis,Japanese encephalitis,Japanese encephalitis,Japanese encephalitis,yes,default_clean,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,yes,yes,include_primary_amplifying_host_group,include_competent_vectors,host_and_vector,WHO/CDC: Culex mosquitoes; enzootic cycle with pigs and/or wading birds; humans dead-end.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_32,Chagas (acute),Chagas (acute),Chagas (acute),Chagas (acute),yes,default_clean,mixed_or_indirect,host_group_generalist,mixed,triatomine_borne_parasite,optional,yes,host_sdm_low_value_generalist,include_competent_vectors,mixed,"WHO/CDC: T. cruzi mainly vector-borne via triatomine faeces, plus oral/congenital/transfusion; many mammal reservoirs.",reviewed,include,Included in current default modelling scope after transmission-rule review.
master_33,Melioidosis,Melioidosis,Melioidosis,Melioidosis,yes,default_clean,mixed_or_indirect,generalist,simple,environmental_soil_or_water,no,no,no_host_sdm_for_now,no_vector,environment,"CDC: Burkholderia pseudomallei infection from contaminated soil, air or water; animal hosts not primary range layer.",reviewed,include,Included in current default modelling scope after transmission-rule review.
master_34,Brazilian spotted fever,Brazilian spotted fever,Brazilian spotted fever,Brazilian spotted fever,yes,default_clean,vectored,host_group_generalist,complex,tick_borne_pathogen,optional,yes,include_primary_amplifying_host_group,include_competent_vectors,host_and_vector,CDC EID/Brazilian reviews: R. rickettsii tick-borne; Amblyomma vectors with local amplifying hosts such as capybaras/dogs vary by focus.,needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.
master_35,La Crosse encephalitis,La Crosse encephalitis,La Crosse encephalitis,La Crosse encephalitis,yes,default_clean,vectored,restricted,complex,mosquito_borne_arbovirus,optional,yes,include_reservoir_hosts_only,vector_sdm_primary_limiter,vector,CDC: Ae. triseriatus treehole mosquito cycle with chipmunks/squirrels; humans dead-end.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_36,Powassan,Powassan,Powassan,Powassan,yes,default_clean,vectored,restricted,complex,tick_borne_pathogen,optional,yes,include_reservoir_hosts_only,vector_sdm_primary_limiter,vector,"CDC: Ixodes ticks transmit Powassan; groundhogs, squirrels, mice and other rodents infect ticks; humans dead-end.",reviewed,include,Included in current default modelling scope after transmission-rule review.
master_37,EEE,EEE,EEE,EEE,yes,default_clean,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,optional,yes,host_sdm_low_value_generalist,vector_sdm_primary_limiter,vector,"CDC: EEEV cycles between mosquitoes and birds; bridge vectors infect humans/horses, which are dead-end.",reviewed,include,Included in current default modelling scope after transmission-rule review.
master_38,WEE,WEE,WEE,WEE,yes,default_clean,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,optional,yes,host_sdm_low_value_generalist,include_competent_vectors,vector,"CDC/APHIS: WEEV maintained in mosquito-bird cycle, Culex tarsalis important; humans/horses dead-end.",reviewed,include,Included in current default modelling scope after transmission-rule review.
master_39,Jamestown Canyon,Jamestown Canyon,Jamestown Canyon,Jamestown Canyon,yes,default_clean,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,optional,yes,include_primary_amplifying_host_group,include_competent_vectors,host_and_vector,CDC: maintained by several mosquitoes and deer/other ungulates; humans dead-end.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_40,St. Louis encephalitis,St. Louis encephalitis,St. Louis encephalitis,St. Louis encephalitis,yes,default_clean,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,optional,yes,host_sdm_low_value_generalist,vector_sdm_primary_limiter,vector,CDC: SLEV maintained between Culex mosquitoes and birds; humans dead-end.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_41,Mayaro,Mayaro,Mayaro,Mayaro,yes,default_clean,vectored,restricted,complex,mosquito_borne_arbovirus,optional,yes,include_reservoir_hosts_only,include_known_vectors_review,host_and_vector,CDC/WHO/EID: sylvatic Haemagogus mosquitoes and non-human primates; Aedes competence raises urban-emergence review need.,needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.
master_42,Zoonotic malaria (P. knowlesi),Zoonotic malaria (P. knowlesi),Zoonotic malaria (P. knowlesi),Zoonotic malaria (P. knowlesi),yes,default_clean,vectored,restricted,complex,mosquito_borne_parasite,yes,yes,include_reservoir_hosts_only,include_competent_vectors,host_and_vector,CDC/reviews: P. knowlesi is zoonotic malaria of macaques transmitted by Anopheles leucosphyrus group mosquitoes.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_43,Anthrax,Anthrax,Anthrax,Anthrax,yes,default_clean,mixed_or_indirect,generalist,mixed,environmental_spore_or_soil,optional,no,include_livestock_hosts,no_vector,environment,CDC/WHO/WOAH: Bacillus anthracis spores persist in soil; livestock/wild herbivores expose humans via animal products/contact.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_45,O'nyong-nyong,O'nyong-nyong,O'nyong-nyong,O'nyong-nyong,yes,default_clean,vectored,restricted,simple,mosquito_borne_arbovirus,no,yes,human_cases_not_range_defining,include_competent_vectors,vector,Rezza review/CDC EID: ONNV primarily transmitted by Anopheles gambiae/funestus; non-human reservoir not well defined.,needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.
master_46,Scrub typhus,Scrub typhus,Scrub typhus,Scrub typhus,yes,default_clean,vectored,host_group_generalist,complex,mite_borne_pathogen,optional,yes,host_sdm_low_value_generalist,include_competent_vectors,vector,"CDC/EID: Orientia transmitted by larval trombiculid mites; rodents/shrews maintain mites, humans accidental.",reviewed,include,Included in current default modelling scope after transmission-rule review.
master_47,Ross River virus,Ross River virus,Ross River virus,Ross River virus,yes,default_clean,vectored,generalist,complex,mosquito_borne_arbovirus,optional,yes,host_sdm_low_value_generalist,include_known_vectors_review,mixed,CDC/EID: mosquito-borne RRV with many vector species and many wild/domestic amplifying hosts; broad host SDMs low value.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_48,Barmah Forest virus,Barmah Forest virus,Barmah Forest virus,Barmah Forest virus,yes,default_clean,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,optional,yes,host_sdm_low_value_generalist,include_known_vectors_review,mixed,Australian CDC/Queensland Health: mosquito-borne; marsupials and possibly humans can infect mosquitoes; no direct person-animal spread.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_49,Bartonellosis,Bartonellosis,Bartonellosis,Bartonellosis,yes,default_clean,mixed_or_indirect,host_group_generalist,mixed,flea_louse_sandfly_borne_bacteria,uncertain,optional,uncertain_review,include_known_vectors_review,not_model_ready,"CDC/GOV.UK: Bartonella spp. use fleas, body lice, sand flies or flea-infested animals; disease aggregate needs species-specific split.",needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.
master_50,Murine typhus,Murine typhus,Murine typhus,Murine typhus,yes,default_clean,mixed_or_indirect,restricted,complex,flea_borne_rodent_pathogen,yes,optional,include_reservoir_hosts_only,include_known_vectors_review,mixed,"CDC: R. typhi flea-borne; rats primary reservoir, opossum/cat-flea cycles important in some areas.",reviewed,include,Included in current default modelling scope after transmission-rule review.
master_52,Bluetongue,Bluetongue,Bluetongue,Bluetongue,yes,default_clean,vectored,host_group_generalist,complex,livestock_amplified_vector_borne,yes,yes,include_livestock_hosts,include_competent_vectors,host_and_vector,WOAH/MSD Vet Manual: BTV affects domestic/wild ruminants and is transmitted by competent Culicoides midges.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_53,Rabies,Rabies,Rabies,Rabies,yes,default_clean,non_vectored,host_group_generalist,mixed,direct_contact_or_bite,optional,no,include_reservoir_hosts_only,no_vector,reservoir_host,"WHO/UKHSA: saliva via bites/scratches; many mammals susceptible but maintenance reservoirs vary by rabies variant, so do not model all hosts.",needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.
master_54,Lumpy skin disease,Lumpy skin disease,Lumpy skin disease,Lumpy skin disease,yes,default_clean,mixed_or_indirect,restricted,mixed,livestock_amplified_vector_borne,yes,optional,include_livestock_hosts,include_known_vectors_review,mixed,"WOAH/Pirbright: cattle disease, predominantly blood-feeding arthropods; exact vector roles not fully resolved, direct contact minor.",needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.
master_55,Epizootic haemorrhagic disease,Epizootic haemorrhagic disease,Epizootic haemorrhagic disease,Epizootic haemorrhagic disease,yes,default_clean,vectored,host_group_generalist,complex,livestock_amplified_vector_borne,yes,yes,include_primary_amplifying_host_group,include_competent_vectors,host_and_vector,"WOAH/Pirbright: EHDV transmitted among ruminants by Culicoides; white-tailed deer severely affected, cattle can be infected.",reviewed,include,Included in current default modelling scope after transmission-rule review.
master_56,African horse sickness,African horse sickness,African horse sickness,African horse sickness,yes,default_clean,vectored,restricted,complex,livestock_amplified_vector_borne,yes,yes,include_livestock_hosts,include_competent_vectors,host_and_vector,WOAH/Pirbright: non-contagious equid disease transmitted biologically by Culicoides spp.; not zoonotic.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_57,Vesicular stomatitis,Vesicular stomatitis,Vesicular stomatitis Indiana virus,VSIV,yes_existing_who,unmatched,mixed_or_indirect,restricted,mixed,livestock_amplified_vector_borne,yes,optional,include_livestock_hosts,include_known_vectors_review,mixed,WOAH/MSD Vet Manual/APHIS: mainly horses/cattle; biting flies/midges and direct contact can transmit.,reviewed,defer_broad_or_aggregate_unit,Source pathogen Genus Vesiculovirus is a broad genus/subgenus scope that has been deferred in later role/modelling work; retain rules for audit only.
master_58,Trypanosomosis (tsetse),Trypanosomosis (tsetse),Trypanosomosis (tsetse),Trypanosomosis (tsetse),review,manual_review,vectored,host_group_generalist,complex,tsetse_borne_parasite,yes,yes,include_primary_amplifying_host_group,include_competent_vectors,host_and_vector,"WHO/WOAH: Trypanosoma transmitted cyclically by tsetse; reservoirs include humans, domestic and wild animals; aggregate needs species split.",needs_review,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.
master_59,Theileriosis,Theileriosis,Theileriosis,Theileriosis,review,manual_review,vectored,host_group_generalist,complex,tick_borne_livestock_parasite,yes,yes,include_livestock_hosts,include_competent_vectors,host_and_vector,WOAH/MSD Vet Manual: tick-borne Theileria spp.; cattle/buffalo/yak hosts and vectors differ by species.,needs_review,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.
master_60,Tularemia,Tularemia,Tularemia,Tularemia,yes,default_clean,mixed_or_indirect,generalist,mixed,mixed_vector_environmental_bacterial_zoonosis,optional,optional,include_reservoir_hosts_only,include_known_vectors_review,mixed,"CDC: Francisella tularensis via ticks/deer flies, animal contact, contaminated water, aerosols; rabbits/hares/rodents important.",reviewed,include,Included in current default modelling scope after transmission-rule review.
master_61,Leishmaniasis,Leishmaniasis,Leishmaniasis,Leishmaniasis,review,manual_review,vectored,host_group_generalist,complex,sandfly_borne_parasite,yes,yes,include_reservoir_hosts_only,include_competent_vectors,host_and_vector,"WHO/ECDC: Leishmania transmitted by female phlebotomine sand flies; about 70 animal species can be sources, so species-level review needed.",needs_review,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.
master_62,Q fever,Q fever,Q fever,Q fever,yes,default_clean,mixed_or_indirect,generalist,mixed,livestock_primary_non_vectored,yes,no,include_livestock_hosts,no_vector,mixed,CDC/WOAH: C. burnetii in goats/sheep/cattle; humans mainly inhale contaminated dust/aerosols; ticks mostly animal cycle.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_63,Schmallenberg,Schmallenberg,Schmallenberg,Schmallenberg,yes,default_clean,vectored,host_group_generalist,complex,livestock_amplified_vector_borne,yes,yes,include_livestock_hosts,include_competent_vectors,host_and_vector,WOAH/Merck/AHDB: ruminant disease transmitted by Culicoides biting midges with in-utero effects.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_65,Sin Nombre,Sin Nombre,Sin Nombre,Sin Nombre,yes,default_clean,non_vectored,specialist,simple,rodent_reservoir_direct_or_environmental,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,CDC/EID: deer mouse Peromyscus maniculatus reservoir; human infection via aerosolised rodent excreta; no vector.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_66,Andes,Andes,Andes,Andes,yes,default_clean,non_vectored,specialist,mixed,rodent_reservoir_direct_or_environmental,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,UKHSA/CDC EID: Andes hantavirus acquired from wild rodents/excreta; limited human-to-human transmission documented.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_67,Prospect Hill,Prospect Hill,Prospect Hill,Prospect Hill,yes,default_clean,non_vectored,specialist,simple,rodent_reservoir_direct_or_environmental,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,"PubMed/reviews: Prospect Hill virus isolated/serology in meadow voles; human-disease relevance is unclear, so review before modelling.",needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.
master_68,Lee/Seoul variants,Lee/Seoul variants,Lee/Seoul variants,Lee/Seoul variants,review,manual_review,non_vectored,restricted,simple,rodent_reservoir_direct_or_environmental,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,WHO/CDC: Seoul virus natural hosts are Norway and black rats; transmission via aerosolised urine/faeces/saliva; label aggregate needs review.,needs_review,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.
master_69,Bayou,Bayou,Bayou,Bayou,yes,default_clean,non_vectored,specialist,simple,rodent_reservoir_direct_or_environmental,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,CDC EID: Bayou virus associated with rice rat Oryzomys palustris; human exposure through aerosolised rodent excreta.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_72,Machupo,Machupo,Machupo,Machupo,yes,default_clean,non_vectored,specialist,mixed,rodent_reservoir_direct_or_environmental,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,CDC EID/UKHSA: Machupo/Bolivian HF reservoir Calomys callosus; human exposure to infected native rodents.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_73,Guanarito,Guanarito,Guanarito,Guanarito,yes,default_clean,non_vectored,restricted,simple,rodent_reservoir_direct_or_environmental,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,CDC EID: Guanarito virus detected mainly in short-tailed cane mice Zygodontomys brevicauda; rodent arenavirus cycle.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_76,Irkut,Irkut,Irkut,Irkut,yes,default_clean,non_vectored,restricted,simple,bat_reservoir_spillover,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,"Lyssavirus reviews: IRKV is bat-borne, isolated from Murina bats; fatal human spillover after bat bite reported; sparse data.",needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.
master_77,Bokeloh bat lyssavirus,Bokeloh bat lyssavirus,Bokeloh bat lyssavirus,Bokeloh bat lyssavirus,yes,default_clean,non_vectored,specialist,simple,bat_reservoir_spillover,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,WHO Rabies Bulletin/CDC EID: BBLV isolated from Natterer's bats in Germany/France; human risk plausible but limited evidence.,needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.
master_78,Duvenhage,Duvenhage,Duvenhage,Duvenhage,yes,default_clean,non_vectored,restricted,simple,bat_reservoir_spillover,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,CDC EID/lyssavirus reviews: African bat lyssavirus with rare fatal human infections after bat contact; reservoir bat layer primary.,reviewed,include,Included in current default modelling scope after transmission-rule review.
master_79,Australian bat lyssavirus,Australian bat lyssavirus,Australian bat lyssavirus,Australian bat lyssavirus,yes,default_clean,non_vectored,restricted,simple,bat_reservoir_spillover,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,NSW Health/Wildlife Health Australia: Australian bats are natural reservoirs; human cases after bites/scratches.,reviewed,include,Included in current default modelling scope after transmission-rule review.
