table,disease_name,claim,confidence,rows,entities,manual_review_rows
vector_role_assignments,Severe fever with thrombocytopenia syndrome (SFTS),primary_vector,high,1,1,0
vector_role_assignments,Tick-borne encephalitis,candidate_vector,medium,2,2,2
vector_role_assignments,Tick-borne encephalitis,enzootic_maintenance_vector,high,1,1,1
vector_role_assignments,Tick-borne encephalitis,main_vector,high,2,2,0
vector_role_assignments,Venezuelan equine encephalitis,bridge_vector,medium,1,1,1
vector_role_assignments,Venezuelan equine encephalitis,enzootic_maintenance_vector,high,1,1,1
vector_role_assignments,Venezuelan equine encephalitis,epidemic_vector,high,1,1,1
vector_role_assignments,West Nile fever,epidemic_vector,medium,1,1,1
vector_role_assignments,West Nile fever,main_vector,high,4,4,4
vector_role_assignments,Yellow fever,main_vector,high,1,1,0
vector_role_assignments,Yellow fever,sylvatic_vector,high,5,5,5
vector_role_assignments,Zika virus disease,candidate_vector,low,1,1,1
vector_role_assignments,Zika virus disease,main_vector,medium,1,1,1
vector_role_assignments,Zika virus disease,primary_vector,high,1,1,0
