disease_name,host_role_bucket,host_role_evidence_basis,modelling_role_proxy_confidence,modelling_role_proxy_needs_review,rows
Tick-borne encephalitis,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,2
Venezuelan equine encephalitis,host_presence_only,candidate_only,low,TRUE,86
Venezuelan equine encephalitis,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
West Nile fever,host_presence_only,candidate_only,low,TRUE,128
West Nile fever,reservoir_or_amplifying_host,disease_group_proxy,low,TRUE,85
West Nile fever,reservoir_or_amplifying_host,weighted_taxonomic_proxy,medium_low,TRUE,47
West Nile fever,reservoir_or_amplifying_host,weighted_taxonomic_proxy,medium,TRUE,11
West Nile fever,dead_end_or_incidental_host,exact_source_backed,high,FALSE,2
West Nile fever,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,1
Yellow fever,host_presence_only,candidate_only,low,TRUE,72
Yellow fever,reservoir_or_amplifying_host,exact_source_backed,medium,FALSE,1
Zika virus disease,host_presence_only,candidate_only,low,TRUE,20
Zika virus disease,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
