disease_name,source_pathogen,vector_species,vector_join_key,vector_role_claim,evidence_type,evidence_direction,evidence_span,source_citation,source_url,source_type,claim_confidence,needs_manual_review,notes
Plague,Yersinia pestis,Xenopsylla cheopis,xenopsylla cheopis,primary_vector,official_treatment_guidance,supports,Yersinia pestis can be transmitted by the Oriental rat flea Xenopsylla cheopis and other flea species.,CDC MMWR plague treatment guidelines,https://www.cdc.gov/mmwr/volumes/70/rr/rr7003a1.htm,official_public_health_guidance,high,FALSE,Official species-level vector support for the classic Oriental rat flea.
Rift Valley fever,Phlebovirus riftense,Aedes spp.,aedes spp,enzootic_maintenance_vector,official_factsheet,supports,RVF virus persists through transmission between vectors and hosts and maintains through vertical transmission in Aedes mosquitoes.,WHO Rift Valley fever fact sheet,https://www.who.int/en/news-room/fact-sheets/detail/rift-valley-fever,official_public_health_factsheet,high,TRUE,Group-level Aedes maintenance evidence; species-level Aedes rows need source review.
Rift Valley fever,Phlebovirus riftense,Culex spp.,culex spp,mechanical_vector,official_factsheet,supports,RVF transmission can amplify in naive ruminants via local competent mosquitoes like Culex Mansonia and Anopheles that act as mechanical vectors.,WHO Rift Valley fever fact sheet,https://www.who.int/en/news-room/fact-sheets/detail/rift-valley-fever,official_public_health_factsheet,medium,TRUE,Genus-level mechanical vector language from WHO.
Rift Valley fever,Phlebovirus riftense,Mansonia spp.,mansonia spp,mechanical_vector,official_factsheet,supports,RVF transmission can amplify in naive ruminants via local competent mosquitoes like Culex Mansonia and Anopheles that act as mechanical vectors.,WHO Rift Valley fever fact sheet,https://www.who.int/en/news-room/fact-sheets/detail/rift-valley-fever,official_public_health_factsheet,medium,TRUE,Genus-level mechanical vector language from WHO.
Rift Valley fever,Phlebovirus riftense,Anopheles spp.,anopheles spp,mechanical_vector,official_factsheet,supports,RVF transmission can amplify in naive ruminants via local competent mosquitoes like Culex Mansonia and Anopheles that act as mechanical vectors.,WHO Rift Valley fever fact sheet,https://www.who.int/en/news-room/fact-sheets/detail/rift-valley-fever,official_public_health_factsheet,medium,TRUE,Genus-level mechanical vector language from WHO.
Chikungunya fever,Alphavirus chikungunya,Aedes aegypti,aedes aegypti,main_vector,official_factsheet,supports,Chikungunya virus is transmitted by infected female mosquitoes most commonly Aedes aegypti and Aedes albopictus.,WHO Chikungunya fact sheet,https://www.who.int/en/news-room/fact-sheets/detail/chikungunya,official_public_health_factsheet,high,FALSE,Explicit common vector species in official source.
Chikungunya fever,Alphavirus chikungunya,Aedes albopictus,aedes albopictus,main_vector,official_factsheet,supports,Chikungunya virus is transmitted by infected female mosquitoes most commonly Aedes aegypti and Aedes albopictus.,WHO Chikungunya fact sheet,https://www.who.int/en/news-room/fact-sheets/detail/chikungunya,official_public_health_factsheet,high,FALSE,Explicit common vector species in official source.
Zika virus disease,Orthoflavivirus zikaense,Aedes aegypti,aedes aegypti,primary_vector,official_factsheet,supports,Zika virus is primarily transmitted by infected mosquitoes of the Aedes genus mainly Aedes aegypti.,WHO Zika virus fact sheet,https://www.who.int/en/news-room/fact-sheets/detail/zika-virus,official_public_health_factsheet,high,FALSE,WHO identifies Aedes aegypti as the main vector.
Zika virus disease,Orthoflavivirus zikaense,Aedes albopictus,aedes albopictus,main_vector,official_transmission_guidance,supports,In the urban cycle Aedes aegypti and Aedes albopictus bite infected people and transmit Zika virus to uninfected people.,CDC Transmission of Zika Virus,https://www.cdc.gov/zika/php/transmission/index.html,official_public_health_guidance,medium,TRUE,CDC includes Aedes albopictus in urban transmission but WHO says mainly Aedes aegypti.
Venezuelan equine encephalitis,Alphavirus venezuelan,Culex Melanoconion spp.,culex melanoconion spp,enzootic_maintenance_vector,peer_reviewed_article,supports,Enzootic VEE viruses generally circulate between Culex Melanoconion mosquito vectors and rodent reservoirs.,CDC Emerging Infectious Diseases VEEV Infection of Cotton Rats,https://wwwnc.cdc.gov/eid/article/13/8/06-1157_article.htm,peer_reviewed_article,high,TRUE,Group-level enzootic vector evidence; species-level Culex rows need subtype and geography review.
Venezuelan equine encephalitis,Alphavirus venezuelan,Aedes taeniorhynchus,aedes taeniorhynchus,epidemic_vector,peer_reviewed_review,supports,Ochlerotatus taeniorhynchus appears to be the primary mosquito vector during epizootics.,Venezuelan Equine Encephalitis - StatPearls,https://www.ncbi.nlm.nih.gov/books/NBK559332/,peer_reviewed_clinical_review,high,TRUE,Epizootic vector role; local table uses Aedes taeniorhynchus synonym.
Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,Hyalomma spp.,hyalomma spp,principal_vector_genus,official_factsheet,supports,Ticks of the genus Hyalomma are the principal vector of Crimean-Congo haemorrhagic fever.,WHO Crimean-Congo haemorrhagic fever fact sheet,https://www.who.int/en/news-room/fact-sheets/detail/crimean-congo-haemorrhagic-fever,official_public_health_factsheet,high,TRUE,Genus-level principal vector evidence; species-level Hyalomma rows need source review.
Tick-borne encephalitis,Orthoflavivirus encephalitidis,Ixodes ricinus,ixodes ricinus,main_vector,official_travel_medicine_guidance,supports,TBE virus is transmitted primarily by Ixodes ricinus for the European subtype.,CDC Yellow Book Tick-Borne Encephalitis,https://www.cdc.gov/yellow-book/hcp/travel-associated-infections-diseases/tick-borne-encephalitis.html,official_public_health_guidance,high,FALSE,Subtype-specific main vector evidence.
Tick-borne encephalitis,Orthoflavivirus encephalitidis,Ixodes persulcatus,ixodes persulcatus,main_vector,official_travel_medicine_guidance,supports,TBE virus is transmitted primarily by Ixodes persulcatus for Far Eastern and Siberian subtypes.,CDC Yellow Book Tick-Borne Encephalitis,https://www.cdc.gov/yellow-book/hcp/travel-associated-infections-diseases/tick-borne-encephalitis.html,official_public_health_guidance,high,FALSE,Subtype-specific main vector evidence.
Tick-borne encephalitis,Orthoflavivirus encephalitidis,Ixodes spp.,ixodes spp,enzootic_maintenance_vector,official_transmission_guidance,supports,TBE virus is maintained in the environment between Ixodes species ticks and small rodents.,CDC Transmission of Tick-borne Encephalitis,https://www.cdc.gov/tick-borne-encephalitis/php/transmission/index.html,official_public_health_guidance,high,TRUE,Group-level maintenance cycle evidence.
Severe fever with thrombocytopenia syndrome (SFTS),Bandavirus dabieense,Haemaphysalis longicornis,haemaphysalis longicornis,primary_vector,official_public_health_guidance,supports,The primary vector is the Asian long-horned tick Haemaphysalis longicornis.,UKHSA SFTS epidemiology outbreaks and guidance,https://www.gov.uk/guidance/severe-fever-with-thrombocytopaenia-syndrome-sfts-epidemiology-outbreaks-and-guidance/,official_public_health_guidance,high,FALSE,Primary vector role in official public health guidance.
Severe fever with thrombocytopenia syndrome (SFTS),Bandavirus dabieense,Haemaphysalis longicornis,haemaphysalis longicornis,enzootic_maintenance_vector,peer_reviewed_article,supports,Haemaphysalis longicornis ticks may be a vector and reservoir host of SFTSV.,CDC Emerging Infectious Diseases Haemaphysalis longicornis Ticks as Reservoir and Vector of SFTSV,https://wwwnc.cdc.gov/eid/article/21/10/pdfs/15-0126.pdf,peer_reviewed_article,medium,TRUE,Reservoir-vector evidence is stronger as a review flag than a final role label.
Oropouche fever,Orthobunyavirus oropoucheense,Culicoides paraensis,culicoides paraensis,primary_vector,official_factsheet,supports,Oropouche virus is primarily transmitted to humans through the bite of Culicoides paraensis midges.,WHO Oropouche virus disease fact sheet,https://www.who.int/news-room/fact-sheets/detail/oropouche-virus-disease,official_public_health_factsheet,high,FALSE,Primary vector role for urban human transmission.
Oropouche fever,Orthobunyavirus oropoucheense,Culex quinquefasciatus,culex quinquefasciatus,candidate_vector,official_health_advisory,supports,Biting midges Culicoides paraensis and possibly certain mosquitoes including Culex quinquefasciatus are responsible for transmitting Oropouche virus.,CDC Health Alert Network Oropouche Virus Disease,https://emergency.cdc.gov/han/2024/pdf/cdc_han_515.pdf,official_public_health_advisory,medium,TRUE,Candidate or possible vector wording only.
Plague,Yersinia pestis,Oropsylla montana,oropsylla montana,primary_vector,regional_public_health,supports,NM report identifies Oropsylla montana as the most important plague vector for humans in New Mexico; USGS plague circular corroborates flea-borne vector context.,Plague,https://www.nmhealth.org/publication/view/help/1009/ | https://pubs.usgs.gov/circ/1372/pdf/C1372_Plague.pdf,state public-health report; official report,high,TRUE,"source_check_candidate_id=candidate_001; caveat=New Mexico / North America public-health context; not a universal global primary vector claim.; decision_reason=Direct named-vector support for O. montana with geographic caveat.; source_access=report_pdf; file_name=ZDP-PLG-InvestigationManual.pdf, C1372_Plague.pdf; source_check_method=local_pdf_text; checked_evidence_location=ZDP-PLG-InvestigationManual.txt lines 24-30; C1372_Plague.txt"
West Nile fever,Orthoflavivirus nilense,Culex quinquefasciatus,culex quinquefasciatus,main_vector,regional_primary_vector,supports,CDC WNV guideline lists Culex quinquefasciatus as a primary WNV vector in southern states and among the three major WNV vectors.,West Nile Virus Surveillance and Control Guidelines,https://www.cdc.gov/west-nile-virus/media/pdfs/2024/08/WestNileVirus-SurveillanceControlGuidelines_508-h.pdf,technical guideline,high,TRUE,"source_check_candidate_id=candidate_002; caveat=United States regional vector framing.; decision_reason=Direct official guideline support.; source_access=report_pdf; file_name=WestNileVirus-SurveillanceControlGuidelines_508-h.pdf; source_check_method=local_pdf_text; checked_evidence_location=WestNileVirus-SurveillanceControlGuidelines_508-h.txt lines 105-108, 152-163, 379-380"
West Nile fever,Orthoflavivirus nilense,Culex tarsalis,culex tarsalis,main_vector,regional_primary_vector,supports,CDC WNV guideline lists Culex tarsalis as a primary WNV vector in western states and among the three major WNV vectors.,West Nile Virus Surveillance and Control Guidelines,https://www.cdc.gov/west-nile-virus/media/pdfs/2024/08/WestNileVirus-SurveillanceControlGuidelines_508-h.pdf,technical guideline,high,TRUE,"source_check_candidate_id=candidate_003; caveat=United States regional vector framing.; decision_reason=Direct official guideline support.; source_access=report_pdf; file_name=WestNileVirus-SurveillanceControlGuidelines_508-h.pdf; source_check_method=local_pdf_text; checked_evidence_location=WestNileVirus-SurveillanceControlGuidelines_508-h.txt lines 105-108, 152-163, 379-380"
Yellow fever,Yellow fever virus,Haemagogus janthinomys,haemagogus janthinomys,sylvatic_vector,outbreak_species_vector,supports,"Abreu et al. identify Haemagogus janthinomys and Hg. leucocelaenus as primary vectors in the Brazil 2016-2018 yellow fever outbreak based on distribution, abundance, and natural infection rates.","Haemagogus leucocelaenus and Haemagogus janthinomys are the primary vectors in the major yellow fever outbreak in Brazil, 2016–2018",https://pubmed.ncbi.nlm.nih.gov/30866775/,primary outbreak study,high,TRUE,source_check_candidate_id=candidate_004; caveat=Brazil Atlantic Forest outbreak context; supports sylvatic/outbreak vector role.; decision_reason=Direct species-level natural infection and outbreak-vector support.; source_access=abstract_only; file_name=Haemagogus leucocelaenus and Haemagogus janthinomys are the primary vectors in the major yellow fever outbreak in Brazil 2016 2018.pdf; source_check_method=local_pdf_text; checked_evidence_location=Haemagogus...Brazil 2016 2018.txt lines 109-119
Yellow fever,Yellow fever virus,Haemagogus leucocelaenus,haemagogus leucocelaenus,sylvatic_vector,outbreak_species_vector,supports,"Abreu et al. identify Haemagogus leucocelaenus and Hg. janthinomys as primary vectors in the Brazil 2016-2018 yellow fever outbreak based on distribution, abundance, and natural infection rates.","Haemagogus leucocelaenus and Haemagogus janthinomys are the primary vectors in the major yellow fever outbreak in Brazil, 2016–2018",https://pubmed.ncbi.nlm.nih.gov/30866775/,primary outbreak study,high,TRUE,source_check_candidate_id=candidate_005; caveat=Brazil Atlantic Forest outbreak context; supports sylvatic/outbreak vector role.; decision_reason=Direct species-level natural infection and outbreak-vector support.; source_access=abstract_only; file_name=Haemagogus leucocelaenus and Haemagogus janthinomys are the primary vectors in the major yellow fever outbreak in Brazil 2016 2018.pdf; source_check_method=local_pdf_text; checked_evidence_location=Haemagogus...Brazil 2016 2018.txt lines 109-119
Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,Hyalomma marginatum,hyalomma marginatum,main_vector,official_species_vector,supports,"ECDC states Hyalomma ticks, mainly H. marginatum, H. anatolicum, H. rufipes and H. asiaticum, are competent CCHFV vectors/reservoirs, with H. marginatum principal in Europe.",Factsheet for health professionals about Crimean-Congo haemorrhagic fever,https://www.ecdc.europa.eu/en/crimean-congo-haemorrhagic-fever/facts/factsheet,official_page,high,TRUE,source_check_candidate_id=candidate_008; caveat=Europe-heavy official source; H. marginatum is explicitly principal in Europe.; decision_reason=Direct official species-level support.; source_access=official_page; source_check_method=official_web; checked_evidence_location=ECDC CCHF factsheet lines 138-140
Dengue,Orthoflavivirus denguei,Aedes furcifer,aedes furcifer,sylvatic_vector,review_synthesis,supports,Diallo et al. review supports Aedes furcifer among African dengue vectors and sylvatic-cycle context.,Dengue vectors in Africa: A review,https://pubmed.ncbi.nlm.nih.gov/35620619/,review,medium,TRUE,source_check_candidate_id=candidate_015; caveat=Review-based African sylvatic vector row; not a global urban vector claim.; decision_reason=Source-backed candidate row with regional caveat.; source_access=abstract_only; file_name=PIIS2405844022007472.pdf; source_check_method=local_pdf_text; checked_evidence_location=PIIS2405844022007472.txt
Dengue,Orthoflavivirus denguei,Aedes luteocephalus,aedes luteocephalus,sylvatic_vector,review_synthesis,supports,Diallo et al. review supports Aedes luteocephalus among African dengue vectors and sylvatic-cycle context.,Dengue vectors in Africa: A review,https://pubmed.ncbi.nlm.nih.gov/35620619/,review,medium,TRUE,source_check_candidate_id=candidate_017; caveat=Review-based African sylvatic vector row; not a global urban vector claim.; decision_reason=Source-backed candidate row with regional caveat.; source_access=abstract_only; file_name=PIIS2405844022007472.pdf; source_check_method=local_pdf_text; checked_evidence_location=PIIS2405844022007472.txt
Dengue,Orthoflavivirus denguei,Aedes polynesiensis,aedes polynesiensis,epidemic_vector,experimental_and_regional_epidemiology,supports,Rosen demonstrates Aedes polynesiensis can transmit dengue experimentally and discusses epidemiologic observations suggesting it as a natural/important vector in Polynesia.,The transmission of dengue by Aedes polynesiensis Marks,https://pubmed.ncbi.nlm.nih.gov/13197723/,primary study,medium,TRUE,"source_check_candidate_id=candidate_018; caveat=Old but direct experimental/epidemiological evidence; Polynesia context.; decision_reason=Direct species-level support.; source_access=abstract_only; file_name=tpmd-article-p878.pdf; source_check_method=local_pdf_text; checked_evidence_location=tpmd-article-p878.txt lines 18-26, 134-155, 175-176"
Dengue,Orthoflavivirus denguei,Aedes taylori,aedes taylori,sylvatic_vector,review_synthesis,supports,Diallo et al. review supports Aedes taylori among African dengue vectors and sylvatic-cycle context.,Dengue vectors in Africa: A review,https://pubmed.ncbi.nlm.nih.gov/35620619/,review,medium,TRUE,source_check_candidate_id=candidate_019; caveat=Review-based African sylvatic vector row; not a global urban vector claim.; decision_reason=Source-backed candidate row with regional caveat.; source_access=abstract_only; file_name=PIIS2405844022007472.pdf; source_check_method=local_pdf_text; checked_evidence_location=PIIS2405844022007472.txt
Plague,Yersinia pestis,Oropsylla hirsuta,oropsylla hirsuta,candidate_vector,regional_epizootic_vector,supports,Miarinjara et al. and supporting literature describe Oropsylla hirsuta as an abundant prairie dog flea vector and support its role in prairie dog plague epizootics.,Reevaluation of the Role of Blocked Oropsylla hirsuta Prairie Dog Fleas,https://academic.oup.com/jme/article/59/3/1053/6563783,primary study,medium,TRUE,"source_check_candidate_id=candidate_021; caveat=Prairie-dog epizootic context; keep candidate rather than main/primary.; decision_reason=Good species-level candidate vector support.; source_access=abstract_only; file_name=tjac021.pdf; source_check_method=local_pdf_text; checked_evidence_location=tjac021.txt lines 33-42, 392-395; C1372_Plague.txt lines 4261-4272"
West Nile fever,Orthoflavivirus nilense,Culex salinarius,culex salinarius,epidemic_vector,regional_vector,supports,CDC WNV guideline describes Culex salinarius as an important enzootic and epidemic vector in the northeastern United States.,West Nile Virus Surveillance and Control Guidelines,https://www.cdc.gov/west-nile-virus/media/pdfs/2024/08/WestNileVirus-SurveillanceControlGuidelines_508-h.pdf,technical guideline,medium,TRUE,source_check_candidate_id=candidate_023; caveat=Northeastern United States context; not a primary vector nationally.; decision_reason=Direct official regional vector support.; source_access=report_pdf; file_name=WestNileVirus-SurveillanceControlGuidelines_508-h.pdf; source_check_method=local_pdf_text; checked_evidence_location=WestNileVirus-SurveillanceControlGuidelines_508-h.txt lines 111-116
Chikungunya fever,Alphavirus chikungunya,Aedes hensilli,aedes hensilli,epidemic_vector,outbreak_species_vector,supports,"Yap CHIKV study detected multiple positive Ae. hensilli pools, argues Ae. hensilli was more important than Ae. aegypti on Yap, and explicitly incriminates it as an epidemic vector.","Incrimination of Aedes (Stegomyia) hensilli Farner as an Epidemic Vector of Chikungunya Virus on Yap Island, Federated States of Micronesia, 2013",https://pmc.ncbi.nlm.nih.gov/articles/PMC4347352/,primary_field_study,medium,TRUE,"source_check_candidate_id=candidate_024; caveat=Yap outbreak context; not a global CHIKV vector claim.; decision_reason=Direct species-level outbreak/vector evidence.; source_access=full_text; file_name=tpmd-article-p429.pdf; source_check_method=local_pdf_text; checked_evidence_location=tpmd-article-p429.txt lines 312-349, 379-381"
Rift Valley fever,Phlebovirus riftense,Aedes mcintoshi,aedes mcintoshi,enzootic_maintenance_vector,review_synthesis,supports,RVF sources identify Aedes mcintoshi among primary floodwater Aedes vectors and describe infected Aedes eggs/maintenance-cycle ecology.,Rift Valley Fever – a Growing Threat To Humans and Animals,https://pmc.ncbi.nlm.nih.gov/articles/PMC8009587/,peer_reviewed_review,medium,TRUE,"source_check_candidate_id=candidate_026; caveat=Review-based species row; maintenance wording is ecological synthesis.; decision_reason=Good source-backed maintenance-vector support.; source_access=full_text; file_name=Rift-Valley-fever-a-growing-threat-to-humans-and-animals.pdf; source_check_method=local_pdf_text; checked_evidence_location=linthicum2016.txt lines 228-229, 384-393, 517-523; Rift-Valley-fever...txt lines 90-92"
Rift Valley fever,Phlebovirus riftense,Culex poicilipes,culex poicilipes,epidemic_vector,secondary_epidemic_vector,supports,RVF sources list Culex poicilipes among RVFV vectors and describe Culex secondary vectors transmitting from highly viraemic animals to humans.,Rift Valley Fever – a Growing Threat To Humans and Animals,https://pmc.ncbi.nlm.nih.gov/articles/PMC8009587/,peer_reviewed_review,medium,TRUE,source_check_candidate_id=candidate_027; caveat=Best interpreted as secondary/epidemic vector rather than maintenance vector.; decision_reason=Source-backed regional epidemic vector support.; source_access=full_text; file_name=Rift-Valley-fever-a-growing-threat-to-humans-and-animals.pdf; source_check_method=local_pdf_text; checked_evidence_location=linthicum2016.txt lines 293-295; Rift-Valley-fever...txt lines 100-107
Venezuelan equine encephalitis,Alphavirus venezuelan,Psorophora confinnis,psorophora confinnis,bridge_vector,experimental_vector_competence,supports,Ortiz/Weaver study reports high susceptibility and transmission potential of Psorophora confinnis and concludes it is an important bridge vector for enzootic and epizootic VEEV.,"Update: Venezuelan Equine Encephalitis -- Colombia, 1995 | Susceptibility of Psorophora confinnis to infection with epizootic and enzootic VEE viruses",https://www.cdc.gov/mmwr/preview/mmwrhtml/00039331.htm | https://pubmed.ncbi.nlm.nih.gov/16365999/,official_report; primary_experimental_study,medium,TRUE,"source_check_candidate_id=candidate_028; caveat=Northern South America / VEEV subtype context; bridge-vector role is supported but regional.; decision_reason=Direct species-level competence and bridge-vector support.; source_access=official_page | abstract_only; file_name=, ortiz2005.pdf; source_check_method=local_pdf_text; checked_evidence_location=ortiz2005.txt lines 14-31, 391-418"
Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,Hyalomma anatolicum,hyalomma anatolicum,main_vector,official_species_vector,supports,"ECDC states Hyalomma ticks, mainly H. marginatum, H. anatolicum, H. rufipes and H. asiaticum, are competent CCHFV vectors/reservoirs.",Factsheet for health professionals about Crimean-Congo haemorrhagic fever,https://www.ecdc.europa.eu/en/crimean-congo-haemorrhagic-fever/facts/factsheet,official_page,medium,TRUE,source_check_candidate_id=candidate_029; caveat=Species is named as competent vector/reservoir; main-vector strength is less Europe-specific than H. marginatum.; decision_reason=Direct official species-level support.; source_access=official_page; source_check_method=official_web; checked_evidence_location=ECDC CCHF factsheet lines 138-140
Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,Hyalomma lusitanicum,hyalomma lusitanicum,enzootic_maintenance_vector,regional_virus_circulation,supports,ECDC states CCHFV was detected in H. lusitanicum in Spain before the first human case and that this species seems important in virus circulation there.,Factsheet for health professionals about Crimean-Congo haemorrhagic fever,https://www.ecdc.europa.eu/en/crimean-congo-haemorrhagic-fever/facts/factsheet,official_page,medium,TRUE,source_check_candidate_id=candidate_030; caveat=Spain-specific circulation role; do not generalize globally.; decision_reason=Official regional support for virus-circulation role.; source_access=official_page; source_check_method=official_web; checked_evidence_location=ECDC CCHF factsheet lines 138-140
Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,Hyalomma rufipes,hyalomma rufipes,main_vector,official_species_vector,supports,"ECDC states Hyalomma ticks, mainly H. marginatum, H. anatolicum, H. rufipes and H. asiaticum, are competent CCHFV vectors/reservoirs.",Factsheet for health professionals about Crimean-Congo haemorrhagic fever,https://www.ecdc.europa.eu/en/crimean-congo-haemorrhagic-fever/facts/factsheet,official_page,medium,TRUE,source_check_candidate_id=candidate_031; caveat=Species is named as competent vector/reservoir; regional importance varies.; decision_reason=Direct official species-level support.; source_access=official_page; source_check_method=official_web; checked_evidence_location=ECDC CCHF factsheet lines 138-140
Oropouche fever,Orthobunyavirus oropoucheense,Culicoides sonorensis,culicoides sonorensis,competent_vector_only,experimental_competence_only,supports,"Systematic review finds Culicoides sonorensis and C. paraensis consistently demonstrate high competence to transmit OROV, but emphasizes current outbreak vectors remain uncertain.",Vector competence for Oropouche virus: A systematic review,https://pubmed.ncbi.nlm.nih.gov/40305476/,peer-reviewed review,medium,TRUE,"source_check_candidate_id=candidate_032; caveat=Competence evidence only; no evidence that C. sonorensis is a field vector in current outbreaks.; decision_reason=Strong competence-only support.; source_access=abstract_only; file_name=journal.pntd.0013014.pdf; source_check_method=local_pdf_text; checked_evidence_location=journal.pntd.0013014.txt lines 15-29, 199-212, 277-287"
Severe fever with thrombocytopenia syndrome (SFTS),Bandavirus dabieense,Haemaphysalis flava,haemaphysalis flava,competent_vector_only,experimental_competence,supports,Fang et al. demonstrate H. flava can acquire SFTSV and transmit it through stages and to rabbits; they conclude H. flava is a competent vector/reservoir.,Haemaphysalis flava ticks as a competent vector of severe fever with thrombocytopenia syndrome virus,https://pubmed.ncbi.nlm.nih.gov/36599203/,primary study,medium,TRUE,"source_check_candidate_id=candidate_034; caveat=Competence/experimental transmission support; field importance remains context-dependent.; decision_reason=Direct experimental competence support.; source_access=abstract_only; file_name=1-s2.0-S1877959X22002023-main.pdf; source_check_method=local_pdf_text; checked_evidence_location=1-s2.0-S1877959X22002023-main.txt lines 240-263, 351-356"
Severe fever with thrombocytopenia syndrome (SFTS),Bandavirus dabieense,Ixodes sinensis,ixodes sinensis,candidate_vector,experimental_candidate_vector,supports,"Hu et al. show I. sinensis transovarial transmission, adult tick-to-mouse transmission, and conclude it can play roles in maintaining/transmitting SFTSV.",Role of three tick species in the maintenance and transmission of severe fever with thrombocytopenia syndrome virus,https://pubmed.ncbi.nlm.nih.gov/32520966/,primary study,medium,TRUE,"source_check_candidate_id=candidate_035; caveat=Evidence is experimental and geographically bounded; keep candidate rather than main vector.; decision_reason=Direct experimental candidate-vector support.; source_access=abstract_only; file_name=document.pdf; source_check_method=local_pdf_text; checked_evidence_location=document.txt lines 24-36, 72-77, 379-383, 503-514"
