disease_name,disease_name_clean,screen_status,priority_tier,likely_vector_group,screening_source_key,screening_basis,notes,next_action
"Hepatitis E","Hepatitis E","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as enteric and food-borne exposure.","hold_out_of_first_pass"
"Human metapneumovirus infection","Human metapneumovirus infection","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as respiratory transmission.","hold_out_of_first_pass"
"Influenza","Influenza","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as respiratory transmission.","hold_out_of_first_pass"
"Influenza (H5N1 avian influenza)","Influenza (H5N1 avian influenza)","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Specific avian influenza disease label inherits the broad Influenza non-vector screen.","hold_out_of_first_pass"
"Influenza (H7N9 avian influenza)","Influenza (H7N9 avian influenza)","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Specific avian influenza disease label inherits the broad Influenza non-vector screen.","hold_out_of_first_pass"
"Klebsiella infection (pneumonia sepsis)","Klebsiella infection (pneumonia sepsis)","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as opportunistic or contact-associated, not arthropod-borne.","hold_out_of_first_pass"
"Lassa fever","Lassa fever","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as rodent-associated rather than arthropod-borne.","hold_out_of_first_pass"
"Lujo hemorrhagic fever","Lujo hemorrhagic fever","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Keep out of first-pass vector extraction unless targeted review changes status.","hold_out_of_first_pass"
"Marburg virus disease","Marburg virus disease","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as contact- and reservoir-associated, not arthropod-borne.","hold_out_of_first_pass"
"Middle East Respiratory Syndrome (MERS)","Middle East Respiratory Syndrome (MERS)","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as camel-reservoir and respiratory exposure rather than arthropod-borne.","hold_out_of_first_pass"
"Mpox (Monkeypox)","Mpox (Monkeypox)","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as contact and animal exposure rather than arthropod-borne.","hold_out_of_first_pass"
"Nipah virus disease","Nipah virus disease","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as reservoir- and contact-associated, not arthropod-borne.","hold_out_of_first_pass"
"No known human disease","No known human disease","exclude","4_exclude","","exclude_no_human_disease","This label is not usable for disease-based vector screening.","Drop from disease-driven vector curation.","exclude_from_first_pass"
"Non-typhoidal salmonellosis","Non-typhoidal salmonellosis","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as food-borne rather than arthropod-borne.","hold_out_of_first_pass"
"Oropouche fever","Oropouche fever","clear","1_high","biting_midge_primary_mosquito_secondary","PAHO_Oropouche_disease_page","Recognised vector-borne disease in the first-pass screening.","Start species-level lookup with Culicoides and documented mosquito vectors.","prioritise_vector_lookup"
"Picobirnavirus gastroenteritis","Picobirnavirus gastroenteritis","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as enteric or unclear non-vector transmission.","hold_out_of_first_pass"
"Plague","Plague","clear","1_high","flea","WHO_plague_fact_sheet","Recognised flea-borne disease in the first-pass screening.","Start species-level lookup with Xenopsylla and related flea vectors.","prioritise_vector_lookup"
"Poliomyelitis","Poliomyelitis","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as fecal-oral transmission.","hold_out_of_first_pass"
"Reovirus infection (usually mild)","Reovirus infection (usually mild)","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Keep out of vector extraction unless later evidence suggests otherwise.","hold_out_of_first_pass"
"Rift Valley fever","Rift Valley fever","clear","1_high","mosquito","WHO_Rift_Valley_fever_fact_sheet","Recognised mosquito-borne disease in the first-pass screening.","Start species-level lookup with mosquito vectors and note livestock context.","prioritise_vector_lookup"
"Severe Acute Respiratory Syndrome (SARS); COVID-19","Severe Acute Respiratory Syndrome (SARS); COVID-19","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as respiratory transmission.","hold_out_of_first_pass"
"Severe fever with thrombocytopenia syndrome (SFTS)","Severe fever with thrombocytopenia syndrome (SFTS)","clear","1_high","tick","CDC_EID_SFTS_tickborne_article","Recognised tick-borne zoonosis in the first-pass screening.","Start species-level lookup with Haemaphysalis and related ticks.","prioritise_vector_lookup"
"Shigellosis (bacillary dysentery)","Shigellosis (bacillary dysentery)","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as fecal-oral transmission.","hold_out_of_first_pass"
"Sudan virus disease (Ebola virus disease)","Sudan virus disease (Ebola virus disease)","no","3_no","","manual_first_pass_non_vector","No established arthropod vector route in the first-pass disease screen.","Treat as contact- and reservoir-associated, not arthropod-borne.","hold_out_of_first_pass"
"Tick-borne encephalitis","Tick-borne encephalitis","clear","1_high","tick","WHO_tick_borne_encephalitis_topic_page","Recognised tick-borne disease in the first-pass screening.","Start species-level lookup with Ixodes and related ticks.","prioritise_vector_lookup"
"Vaccinia (vaccinia virus infection)","Vaccinia (vaccinia virus infection)","review","2_review","manual_review","manual_targeted_review_needed","Arthropod transmission is not established enough for first-pass inclusion.","Keep as a review case until a targeted literature check is done.","manual_literature_review"
"Vesicular stomatitis","Vesicular stomatitis","review","2_review","biting_fly_review","manual_targeted_review_needed","Potential arthropod involvement requires targeted review before first-pass inclusion.","Carry forward as a review case rather than asserting final vector status in the screen.","manual_literature_review"
"Venezuelan equine encephalitis","Venezuelan equine encephalitis","clear","1_high","mosquito","PAHO_arboviral_encephalitis","Recognised arboviral encephalitis in the first-pass screening.","Start species-level lookup with mosquito vectors.","prioritise_vector_lookup"
"West Nile fever","West Nile fever","clear","1_high","mosquito","WHO_vector_borne_diseases_fact_sheet","Recognised mosquito-borne disease in the first-pass screening.","Start species-level lookup with Culex and related mosquito vectors.","prioritise_vector_lookup"
"Yellow fever","Yellow fever","clear","1_high","mosquito","WHO_vector_borne_diseases_fact_sheet","Recognised mosquito-borne disease in the first-pass screening.","Start species-level lookup with Aedes and sylvatic mosquito vectors.","prioritise_vector_lookup"
"Zika virus disease","Zika virus disease","clear","1_high","mosquito","WHO_vector_borne_diseases_fact_sheet","Recognised mosquito-borne disease in the first-pass screening.","Start species-level lookup with Aedes vectors.","prioritise_vector_lookup"
