pilot_subset,pilot_priority,pilot_next_step,analysis_unit_id,readiness_disease_name,pathogen_species_name,pathogen_taxid,analysis_unit_label,family,in_master_who,priority_prototype_status,master_tier,modelling_scope_status,transmission_rule_review_status,recommended_next_action,readiness_blocker,vectored_status,generalist_status,transmission_complexity,guild,range_limiting_layer,host_sdm_needed,vector_sdm_needed,direct_vector_evidence_status,country_evidence_status,sdm_availability_status,role_assignment_status,evidence_join_status,has_direct_vector_evidence,host_sdm_species_available,vector_sdm_species_available,genbank_distinct_countries_or_territories,who_don_distinct_countries,modelling_scope_reason
who_core,1,find_or_build_vector_sdm,master_8,Rift Valley fever,Phlebovirus riftense,3052676,Rift Valley Fever virus,Phenuiviridae,TRUE,prototype,1,include,reviewed,find_or_build_vector_sdm,missing_required_vector_sdm,vectored,host_group_generalist,mixed,livestock_amplified_vector_borne,host_and_vector,yes,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,reviewed_assignment_present,matched_primary_name,TRUE,15,0,33,13,Included in current default modelling scope after transmission-rule review.
who_core,1,curate_role_evidence,who_18,Influenza (H7N9 avian influenza),Alphainfluenzavirus influenzae,11320; 2955291,Influenza A (H7N9),Orthomyxoviridae,TRUE,priority,,include,reviewed,curate_role_evidence,missing_role_evidence,non_vectored,host_group_generalist,mixed,avian_reservoir_non_vectored,livestock_host,yes,no,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,no_role_evidence_or_assignment,matched_primary_name,FALSE,71,0,20,3,Included in current default modelling scope after transmission-rule review.
who_core,1,ready_for_model_spec_review,who_8,Hemorrhagic fever with renal syndrome (Hantaan virus),Orthohantavirus hantanense,3052480,Hantaan orthohantavirus,Hantaviridae,TRUE,priority,,include,reviewed,ready_for_model_spec_review,none,non_vectored,specialist,simple,rodent_reservoir_direct_or_environmental,reservoir_host,yes,no,not_expected_non_vectored,genbank_only,required_sdms_available,reviewed_assignment_present,matched_primary_name,FALSE,11,0,5,0,Included in current default modelling scope after transmission-rule review.
who_scope_review,2,decide_scope_before_modelling,master_15,Mpox (Monkeypox),Orthopoxvirus monkeypox,10244; 3431483,Monkeypox virus,Poxviridae,TRUE,both,1,review_before_modelling,needs_review,review_or_defer_scope,scope_not_include,non_vectored,uncertain,mixed,direct_contact_or_bite,uncertain,uncertain,no,not_expected_non_vectored,who_don_and_genbank,sdm_not_required_or_not_model_ready,reviewed_assignment_present,matched_primary_name,FALSE,16,0,59,28,Transmission rule pass marked this row needs_review; use only after manual review.
who_scope_review,2,decide_scope_before_modelling,master_18,Oropouche fever,Orthobunyavirus oropoucheense,3052429,Oropouche virus,Peribunyaviridae,TRUE,prototype,1,review_before_modelling,needs_review,review_or_defer_scope,scope_not_include,vectored,restricted,complex,midge_borne_arbovirus,vector,uncertain,yes,direct_vector_evidence_present,who_don_and_genbank,sdm_not_required_or_not_model_ready,reviewed_assignment_present,matched_primary_name,TRUE,2,0,15,9,Transmission rule pass marked this row needs_review; use only after manual review.
who_scope_review,2,decide_scope_before_modelling,master_24,Severe fever with thrombocytopenia syndrome (SFTS),Bandavirus dabieense,1933190; 2748958,SFTS virus,Phenuiviridae,TRUE,both,2,review_before_modelling,needs_review,review_or_defer_scope,scope_not_include,vectored,host_group_generalist,mixed,tick_borne_pathogen,vector,optional,yes,direct_vector_evidence_present,genbank_only,sdm_not_required_or_not_model_ready,reviewed_assignment_present,matched_primary_name,TRUE,28,0,6,0,Transmission rule pass marked this row needs_review; use only after manual review.
who_scope_review,2,decide_scope_before_modelling,master_25,Venezuelan equine encephalitis,Alphavirus venezuelan,11036,Venezuelan equine encephalitis virus,Togaviridae,TRUE,both,1/2,review_before_modelling,needs_review,review_or_defer_scope,scope_not_include,vectored,host_group_generalist,complex,livestock_amplified_vector_borne,host_and_vector,yes,yes,direct_vector_evidence_present,genbank_only,sdm_not_required_or_not_model_ready,reviewed_assignment_present,matched_primary_name,TRUE,18,0,19,0,Transmission rule pass marked this row needs_review; use only after manual review.
who_scope_review,2,decide_scope_before_modelling,master_26,Borna disease (encephalitis),Orthobornavirus bornaense,1714619,Mammalian Bornavirus 1 (BoDV-1),Bornaviridae,TRUE,prototype,3,review_before_modelling,needs_review,review_or_defer_scope,scope_not_include,non_vectored,specialist,uncertain,small_mammal_reservoir_direct,reservoir_host,yes,no,not_expected_non_vectored,genbank_only,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,matched_primary_name,FALSE,15,0,10,0,Transmission rule pass marked this row needs_review; use only after manual review.
who_scope_review,2,decide_scope_before_modelling,master_27,Lujo hemorrhagic fever,Mammarenavirus lujoense,3052314,Lujo virus,Arenaviridae,TRUE,prototype,3,review_before_modelling,insufficient_evidence,review_or_defer_scope,scope_not_include,non_vectored,uncertain,mixed,rodent_reservoir_direct_or_environmental,not_model_ready,uncertain,no,not_expected_non_vectored,genbank_only,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,3,0,Transmission rule pass marked insufficient_evidence; not model-ready by default.
who_scope_review,2,decide_scope_before_modelling,master_9,Ebola virus disease,Orthoebolavirus zairense,186538; 3052462,Ebola virus,Filoviridae,TRUE,both,1,review_before_modelling,needs_review,review_or_defer_scope,scope_not_include,non_vectored,restricted,complex,bat_reservoir_spillover,mixed,optional,no,not_expected_non_vectored,who_don_and_genbank,sdm_not_required_or_not_model_ready,reviewed_assignment_present,matched_primary_name,FALSE,13,0,16,21,Transmission rule pass marked this row needs_review; use only after manual review.
who_scope_review,2,decide_scope_before_modelling,who_27,Non-typhoidal salmonellosis,Salmonella enterica non typhoidal serovars,28901,Salmonella enterica non typhoidal serovars,Bacteria,TRUE,priority,,review_before_modelling,reviewed,review_or_defer_scope,scope_not_include,non_vectored,generalist,mixed,food_waterborne,human_exposure,optional,no,not_expected_non_vectored,no_country_evidence,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,unmatched_no_evidence,FALSE,0,0,0,0,Analysis unit is still marked review; do not use as default modelling scope until resolved.
who_scope_review,2,decide_scope_before_modelling,who_30,Reovirus infection (usually mild),Orthoreovirus mammalis,,Mammalian orthoreovirus,Spinareoviridae,TRUE,prototype,,review_before_modelling,insufficient_evidence,review_or_defer_scope,scope_not_include,non_vectored,generalist,uncertain,direct_or_environmental_non_vectored,not_model_ready,no,no,not_expected_non_vectored,genbank_only,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,25,0,Analysis unit is still marked review; do not use as default modelling scope until resolved.
who_scope_review,2,decide_scope_before_modelling,who_37,Sudan virus disease (Ebola virus disease),Orthoebolavirus sudanense,186540; 3052460,Sudan ebolavirus,Filoviridae,TRUE,priority,,review_before_modelling,needs_review,review_or_defer_scope,scope_not_include,non_vectored,restricted,complex,bat_reservoir_spillover,mixed,optional,no,not_expected_non_vectored,who_don_and_genbank,sdm_not_required_or_not_model_ready,reviewed_assignment_present,matched_primary_name,FALSE,0,0,4,2,Transmission rule pass marked this row needs_review; use only after manual review.
who_defer_aggregate,3,defer_or_split_aggregate_unit,master_14,Middle East Respiratory Syndrome (MERS),,1335626; 3433633,MERS-CoV,Coronaviridae,TRUE,both,1,defer_broad_or_aggregate_unit,reviewed,review_or_defer_scope,scope_not_include,non_vectored,restricted,mixed,livestock_primary_non_vectored,livestock_host,yes,no,not_expected_non_vectored,who_don_only,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,0,28,Source pathogen Subgenus Merbecovirus is a broad genus/subgenus scope that has been deferred in later role/modelling work; retain rules for audit only.
who_defer_aggregate,3,defer_or_split_aggregate_unit,master_22,Severe Acute Respiratory Syndrome (SARS); COVID-19,,694009; 3418604,SARS-like bat sarbecoviruses,Coronaviridae,TRUE,both,3,defer_broad_or_aggregate_unit,needs_review,review_or_defer_scope,scope_not_include,non_vectored,host_group_generalist,mixed,bat_reservoir_spillover,mixed,yes,no,not_expected_non_vectored,no_country_evidence,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,unmatched_no_evidence,FALSE,0,0,0,0,Source pathogen Subgenus Sarbecovirus is a broad genus/subgenus scope that has been deferred in later role/modelling work; retain rules for audit only.
