row_type,family,pheic_risk,source_pathogen,source_previous_name,source_msl39_viral_name,source_disease_name,is_priority_pathogen,is_prototype_pathogen,in_gibb_etal,in_empres_i,priority_prototype_status,region_africa,region_americas,region_europe,region_mediterranean,region_se_asia,region_western_pacific,source_unit_scope,analysis_unit,analysis_unit_label,analysis_unit_rank,analysis_decision,decision_rule_trigger,transmission_context,human_infection_status,host_link_status,vector_data_status,amplifier_data_status,example_members,rationale,notes,vectored_status,generalist_status,transmission_complexity,guild,host_sdm_needed,vector_sdm_needed,host_range_rule,vector_range_rule,range_limiting_layer,transmission_rule_notes,transmission_rule_review_status,modelling_scope_status,modelling_scope_reason,analysis_unit_id,master_row,disease_master_name,master_tier,master_guild,master_livestock_amplified,master_key_host_vector,include_as_analysis_unit,preferred_match_source,matched_pathogen_names,matched_taxids,match_review_flag,shared_species_proxy_flag,match_review_notes,host_query_bucket
source_row,Paramyxoviridae,High,Henipavirus nipahense,Nipah virus,Henipavirus nipahense,Nipah virus disease,TRUE,TRUE,TRUE,TRUE,both,none,none,none,none,both,both,specific_unit,Henipavirus nipahense,Nipah virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Pig amplification in Malaysia outbreak,non_vectored,restricted,mixed,bat_reservoir_spillover,yes,no,include_reservoir_hosts_only,no_vector,mixed,WHO/GOV.UK/Pirbright: Pteropus fruit bats reservoir; pigs can amplify in some outbreaks; person-to-person possible.,reviewed,include,Included in current default modelling scope after transmission-rule review.,master_12,12,Nipah,1,B,TRUE,Pteropus bats,yes_existing_who,,,,FALSE,FALSE,,unmatched
,Paramyxoviridae,,,,,Hendra,,,,,,,,,,,,disease_level_review,Hendra,Hendra,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,B,,,,livestock_amplifier_flag_from_master_list,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,Horse amplification. n=11,non_vectored,restricted,mixed,bat_reservoir_spillover,yes,no,include_reservoir_hosts_only,no_vector,mixed,Queensland Health/CDC: flying fox reservoir; spillover to horses then rarely humans; horse SDM may be exposure layer.,reviewed,include,Included in current default modelling scope after transmission-rule review.,master_13,13,Hendra,3,B,TRUE,Pteropus bats,yes,virion,henipavirus hendraense,3052223,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,default_clean
split_candidate,Coronaviridae,High,Subgenus Merbecovirus,Middle East Respiratory Syndrome Coronavirus,subgenus Merbecovirus,Middle East Respiratory Syndrome (MERS),TRUE,TRUE,FALSE,FALSE,both,none,none,none,both,none,none,broad_subgenus,Middle East respiratory syndrome-related coronavirus (MERS-CoV),MERS-CoV,species,keep,clear_human_infection_and_host_link,host_linked_non_vector,yes,yes,no,yes,,Clear human-pathogenic merbecovirus with established host and amplifier relevance.,Retained as a distinct analysis unit rather than folded into the broader merbecovirus placeholder.,non_vectored,restricted,mixed,livestock_primary_non_vectored,yes,no,include_livestock_hosts,no_vector,livestock_host,WHO/CDC: zoonotic virus transferred from infected dromedary camels; human outbreaks via close contact/healthcare.,reviewed,defer_broad_or_aggregate_unit,Source pathogen Subgenus Merbecovirus is a broad genus/subgenus scope that has been deferred in later role/modelling work; retain rules for audit only.,master_14,14,MERS,1,C,TRUE,Dromedary camels,yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Poxviridae,High,Orthopoxvirus monkeypox,Monkeypox virus,Orthopoxvirus monkeypox,Mpox (Monkeypox),TRUE,TRUE,TRUE,TRUE,both,both,both,both,both,both,both,specific_unit,Orthopoxvirus monkeypox,Monkeypox virus,species_or_equivalent,keep,specific_source_row,mixed_or_context_dependent,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Pre-2022 sylvatic data only,non_vectored,uncertain,mixed,direct_contact_or_bite,uncertain,no,uncertain_review,no_vector,uncertain,"WHO/ECDC mpox: animal reservoir remains unknown; susceptible small mammals noted, and current spread can be human-to-human. Do not define range by human SDM.",needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.,master_15,15,Mpox,1,B,FALSE,Rodents (squirrels),yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H5N1),Influenza A,Alphainfluenzavirus influenzae,Influenza (H5N1 avian influenza),TRUE,TRUE,TRUE,TRUE,both,both,both,both,both,both,none,subtype_level,Alphainfluenzavirus influenzae (H5N1),Influenza A,subtype,keep,influenza_keep_h5n1_only,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,"Retained as the only active influenza analysis unit from the current WHO shortlist, following the decision to keep H5N1 but drop the other current influenza subtype rows.",Kept as the only influenza subtype from the current WHO shortlist in the active analysis-unit set.,non_vectored,host_group_generalist,mixed,avian_reservoir_non_vectored,yes,no,include_primary_amplifying_host_group,no_vector,mixed,"CDC bird flu: avian influenza spreads among birds; human cases mostly after exposure to infected birds/animals; include wild birds/poultry, not human cases.",reviewed,include,Included in current default modelling scope after transmission-rule review.,master_16,16,Avian influenza (H5N1),1,C,TRUE,Wild waterfowl; poultry interface,yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Bacteria,High,Yersinia pestis,,,Plague,TRUE,FALSE,TRUE,FALSE,priority,priority,priority,none,none,none,none,specific_unit,Yersinia pestis,Yersinia pestis,species_or_equivalent,keep,specific_source_row,mixed_or_context_dependent,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,,vectored,host_group_generalist,mixed,flea_borne_rodent_pathogen,yes,optional,include_reservoir_hosts_only,include_known_vectors_review,reservoir_host,"CDC plague: Y. pestis cycles in wild rodents and fleas; human animal-handling exposure noted, but reservoir hosts are the practical range layer.",reviewed,include,Included in current default modelling scope after transmission-rule review.,master_17,17,Plague,1,A/E,FALSE,Rodent fleas; wildlife cycle,yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Peribunyaviridae,Low,Orthobunyavirus oropoucheense,Oropouche virus,Orthobunyavirus oropoucheense,Oropouche fever,FALSE,TRUE,TRUE,TRUE,prototype,none,prototype,none,none,none,none,specific_unit,Orthobunyavirus oropoucheense,Oropouche virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,,vectored,restricted,complex,midge_borne_arbovirus,uncertain,yes,uncertain_review,vector_sdm_primary_limiter,vector,CDC Oropouche: Culicoides paraensis biting midge primary; some mosquitoes possible. Sylvatic hosts/reservoirs remain insufficiently resolved.,needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.,master_18,18,Oropouche,1,E,FALSE,Culicoides midges,yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Hantaviridae,High,Orthohantavirus sinnombreense,Sinnombre virus,Orthohantavirus sinnombreense,Hantavirus pulmonary syndrome,TRUE,TRUE,FALSE,FALSE,both,none,both,none,none,none,none,specific_unit,Orthohantavirus sinnombreense,Sinnombre virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Split by virus in Atlas dataset,non_vectored,specialist,simple,rodent_reservoir_direct_or_environmental,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,CDC: Sin Nombre/HPS associated with deer mouse; exposure to aerosolised rodent urine/droppings/saliva.,reviewed,include,Included in current default modelling scope after transmission-rule review.,master_19,19,HCPS (hantaviruses),1,A,FALSE,Sigmodontine rodents,yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Arenaviridae,High,Mammarenavirus juninense,Junin virus,Mammarenavirus juninense,Argentine hemorrhagic fever,FALSE,TRUE,TRUE,FALSE,prototype,none,prototype,none,none,none,none,specific_unit,Mammarenavirus juninense,Junin virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,,non_vectored,specialist,mixed,rodent_reservoir_direct_or_environmental,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,"UKHSA/CDC EID: Junin reservoir is Calomys corn mice in Argentine pampas; human exposure via rodent excreta, nosocomial spread uncommon.",reviewed,include,Included in current default modelling scope after transmission-rule review.,master_20,20,Argentine HF (Junin),1,A,FALSE,Calomys musculinus,yes_existing_who,,,,FALSE,FALSE,,unmatched
split_candidate,Coronaviridae,High,Subgenus Sarbecovirus,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,Severe Acute Respiratory Syndrome (SARS); COVID-19,TRUE,TRUE,FALSE,FALSE,both,none,both,none,both,priority,none,broad_subgenus,SARS-like bat sarbecoviruses,SARS-like bat sarbecoviruses,species_group,keep,host_link_and_zoonotic_potential_group,host_linked_non_vector,zoonotic_potential,yes,no,unknown,RaTG13; RmYN02; WIV1; SHC014; Rs3367; RsSHC014; Rs4028; BtKY72; PDF-2370,Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,non_vectored,host_group_generalist,mixed,bat_reservoir_spillover,yes,no,include_reservoir_hosts_only,no_vector,mixed,"Reviews/WHO: sarbecovirus unit mixes bat reservoirs, possible intermediate hosts, and human-maintained SARS-CoV/SARS-CoV-2 lineages; species split needed.",needs_review,defer_broad_or_aggregate_unit,Source pathogen Subgenus Sarbecovirus is a broad genus/subgenus scope that has been deferred in later role/modelling work; retain rules for audit only.,master_22,22,Sarbecoviruses (SARS-like),3,B,FALSE,Rhinolophus bats,yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Flaviviridae,High,Orthoflavivirus encephalitidis,Tick-borne encephalitis virus,Orthoflavivirus encephalitidis,Tick-borne encephalitis,FALSE,TRUE,FALSE,FALSE,prototype,none,prototype,prototype,none,none,none,specific_unit,Orthoflavivirus encephalitidis,Tick-borne encephalitis virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,ECDC surveillance data,vectored,restricted,complex,tick_borne_pathogen,optional,yes,host_sdm_low_value_generalist,vector_sdm_primary_limiter,vector,ECDC: TBEV transmitted by ticks; small rodents are competent reservoirs; unpasteurised dairy route secondary.,reviewed,include,Included in current default modelling scope after transmission-rule review.,master_23,23,Tick-borne encephalitis,2,E,FALSE,Ixodes ticks,yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Phenuiviridae,High,Bandavirus dabieense,SFTS virus,Bandavirus dabieense,Severe fever with thrombocytopenia syndrome (SFTS),TRUE,TRUE,FALSE,FALSE,both,none,none,none,none,both,both,specific_unit,Bandavirus dabieense,SFTS virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,Published case series China/Japan/Korea,vectored,host_group_generalist,mixed,tick_borne_pathogen,optional,yes,host_sdm_low_value_generalist,include_competent_vectors,vector,"UKHSA/CDC EID SFTS: tick bite is usual route; many animal infections and occasional direct transmission mean hosts need review, not broad host SDMs.",needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.,master_24,24,SFTS (Bandavirus),2,E,FALSE,Haemaphysalis longicornis,yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Togaviridae,High,Alphavirus venezuelan,Venezuelan equine encephalitis virus,Alphavirus venezuelan,Venezuelan equine encephalitis,TRUE,TRUE,FALSE,TRUE,both,none,both,none,none,none,none,specific_unit,Alphavirus venezuelan,Venezuelan equine encephalitis virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,Equine amplification,vectored,host_group_generalist,complex,livestock_amplified_vector_borne,yes,yes,include_primary_amplifying_host_group,include_competent_vectors,host_and_vector,"CDC EID/WOAH: VEE maintained in mosquito-vertebrate cycles; equines amplify epidemic subtypes, rodents/wild hosts enzootic.",needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.,master_25,25,VEE,1/2,E,TRUE,Mosquitoes; rodent reservoir,yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Bornaviridae,Low,Orthobornavirus bornaense,Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,Borna disease (encephalitis),FALSE,TRUE,FALSE,FALSE,prototype,none,none,prototype,none,none,none,specific_unit,Orthobornavirus bornaense,Mammalian Bornavirus 1 (BoDV-1),species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Extremely rare,non_vectored,specialist,uncertain,small_mammal_reservoir_direct,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,Nature 2024/reviews: BoDV-1 reservoir is bicoloured white-toothed shrew; spillover route to horses/humans is still unresolved.,needs_review,review_before_modelling,Transmission rule pass marked this row needs_review; use only after manual review.,master_26,26,Borna disease,3,B,FALSE,Bicolored white-toothed shrew,yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Arenaviridae,High,Mammarenavirus lujoense,Lujo virus,Mammarenavirus lujoense,Lujo hemorrhagic fever,FALSE,TRUE,FALSE,FALSE,prototype,prototype,none,none,none,none,none,specific_unit,Mammarenavirus lujoense,Lujo virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Single outbreak 2008,non_vectored,uncertain,mixed,rodent_reservoir_direct_or_environmental,uncertain,no,uncertain_review,no_vector,not_model_ready,"CDC/UKHSA Lujo: rodent-borne arenavirus suspected, but the specific rodent reservoir is unknown; human-to-human transmission occurred.",insufficient_evidence,review_before_modelling,Transmission rule pass marked insufficient_evidence; not model-ready by default.,master_27,27,Lujo HF,3,A,FALSE,Unknown rodent,yes_existing_who,,,,FALSE,FALSE,,unmatched
source_row,Hepeviridae,Low,Paslahepevirus balayani genotype 3,Hepatitis E virus,Paslahepevirus balayani,Hepatitis E,FALSE,TRUE,FALSE,FALSE,prototype,prototype,prototype,prototype,prototype,prototype,prototype,specific_unit,Paslahepevirus balayani genotype 3,Hepatitis E virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Low priority. Pig amplification,non_vectored,restricted,mixed,food_waterborne,optional,no,include_livestock_hosts,no_vector,human_exposure,"BfR/reviews: zoonotic HEV-3 in pigs/wild boar, with food/contact exposure dominant; no vector layer and host SDM is contextual.",reviewed,include,Included in current default modelling scope after transmission-rule review.,master_28,28,Hepatitis E (zoonotic),3,A,TRUE,"Wild boar, deer",yes_existing_who,,,,FALSE,FALSE,,unmatched
,Borrelia,,,,,Lyme disease,,,,,,,,,,,,disease_level_review,Lyme disease,Lyme disease,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,E,,,,unknown,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,Highest n. High filling,vectored,host_group_generalist,complex,tick_borne_pathogen,optional,yes,host_sdm_low_value_generalist,vector_sdm_primary_limiter,vector,CDC Lyme: Ixodes ticks are primary range layer; aggregate Borrelia/region unit is filled for context only because include_as_analysis_unit=hold.,needs_review,exclude_hold,include_as_analysis_unit is hold; retain rule context but exclude from default modelling scope.,master_30,30,Lyme disease,1,E,FALSE,Ixodes ticks; rodent/deer,hold,,,,FALSE,FALSE,,hold
,Flaviviridae,,,,,Japanese encephalitis,,,,,,,,,,,,disease_level_review,Japanese encephalitis,Japanese encephalitis,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,E,,,,livestock_amplifier_flag_from_master_list,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,Pig amplification essential. Vaccination flag.,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,yes,yes,include_primary_amplifying_host_group,include_competent_vectors,host_and_vector,WHO/CDC: Culex mosquitoes; enzootic cycle with pigs and/or wading birds; humans dead-end.,reviewed,include,Included in current default modelling scope after transmission-rule review.,master_31,31,Japanese encephalitis,1,E,TRUE,Culex tritaeniorhynchus; pigs; wading birds,yes,virion,orthoflavivirus japonicum,11072; 3048158,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,default_clean
,Trypanosoma,,,,,Chagas (acute),,,,,,,,,,,,disease_level_review,Chagas (acute),Chagas (acute),disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,E,,,,unknown,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,"GBIF adds ~2,500 T. cruzi records",vectored,host_group_generalist,mixed,triatomine_borne_parasite,optional,yes,host_sdm_low_value_generalist,include_competent_vectors,host_and_vector,"WHO/CDC Chagas: triatomine vector cycle is primary; oral/congenital/transfusion routes are secondary exposure routes, with many mammal reservoirs.",reviewed,include,Included in current default modelling scope after transmission-rule review.,master_32,32,Chagas (acute),1,E,FALSE,Triatomine bugs,yes,clover,trypanosoma cruzi,5693,FALSE,FALSE,,default_clean
,Burkholderia,,,,,Melioidosis,,,,,,,,,,,,disease_level_review,Melioidosis,Melioidosis,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,env,,,,unknown,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,No animal reservoir,non_vectored,generalist,complex,environmental_spore_or_soil,no,no,no_host_sdm_for_now,no_vector,environment,"CDC melioidosis: infection from contaminated soil/water or aerosols; environmental suitability, not host or vector SDM, is the range layer.",reviewed,include,Included in current default modelling scope after transmission-rule review.,master_33,33,Melioidosis,1,env,FALSE,Environmental (B. pseudomallei),yes,clover,burkholderia pseudomallei,28450,FALSE,FALSE,,default_clean
