"accession_base","broad_group","ictv_genus","ictv_subgenus","ictv_species","virus_name","isolate","accession","available_sequence","abbrev","candidate_role","proposed_active_unit","decision","decision_reason","support_status","ncbi_followup_hint","ictv_taxon_anchor","ictv_taxon_source","keep_reason","keep_rationale","keep_notes","source_rationale","source_notes","resolved_accession","ncbi_lookup_status","output_source","Completeness","Geographic Location","Geographic Region","Host Common Name","Host Name","Host Taxonomic ID","Is Annotated","Is Lab Host","Is Vaccine Strain","Isolate Collection date","Length","Protein count","Release date","Source database","Submitter Affiliation","Submitter Country","Submitter Names","Update date","Virus Common Name","Virus Infraspecific Names Isolate","Virus Name","Virus Taxonomic ID","host_name_record","host_name_current_override","host_override_note","host_name_datasets","host_name_record_or_override","host_name_current_curated"
"EF065510","Merbecovirus","Betacoronavirus","Merbecovirus","","Bat coronavirus HKU5-2","HKU5-2","EF065510","GenBank accession provided","HKU5-2","supporting_tree_example","MERS-like bat merbecoviruses","keep_supporting_example","Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree","supporting_example","Bat coronavirus HKU5-2 | HKU5-2","Subgenus Merbecovirus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509494&lvl=3","host_link_and_zoonotic_potential_group","Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree","Added from the Merbecovirus taxonomy tree as a named HKU5 isolate variant. Manual nuccore lookup pinned accession EF065510.1.","EF065510.1","ok","stdout","COMPLETE","China: Guangdong province","Asia",,"Chiroptera",9397,"true","",,"",30488,9,"2007-02-07T00:00:00Z","GenBank","The University of Hong Kong, Microbiology","China","Woo,P.C.,Wang,M.,Lau,S.K.,Xu,H.,Poon,R.W.,Guo,R.,Wong,B.H.,Gao,K.,Tsoi,H.W.,Huang,Y.,Li,K.S.,Lam,C.S.,Chan,K.H.,Zheng,B.J.,Yuen,K.Y.,Woo,P.C.Y.,Lau,S.K.P.,Xu,H.F.,Poon,R.W.S.,Guo,R.T.,Wong,B.H.L.,Li,K.S.M.","2007-02-07T00:00:00Z",,,"Bat coronavirus HKU5-2",424364,,,,"Chiroptera","Chiroptera","Chiroptera"
"EF065511","Merbecovirus","Betacoronavirus","Merbecovirus","","Bat coronavirus HKU5-3","HKU5-3","EF065511","GenBank accession provided","HKU5-3","supporting_tree_example","MERS-like bat merbecoviruses","keep_supporting_example","Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree","supporting_example","Bat coronavirus HKU5-3 | HKU5-3","Subgenus Merbecovirus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509494&lvl=3","host_link_and_zoonotic_potential_group","Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree","Added from the Merbecovirus taxonomy tree as a named HKU5 isolate variant. Manual nuccore lookup pinned accession EF065511.1.","EF065511.1","ok","stdout","COMPLETE","China: Guangdong province","Asia",,"Chiroptera",9397,"true","",,"",30488,9,"2007-02-07T00:00:00Z","GenBank","The University of Hong Kong, Microbiology","China","Woo,P.C.,Wang,M.,Lau,S.K.,Xu,H.,Poon,R.W.,Guo,R.,Wong,B.H.,Gao,K.,Tsoi,H.W.,Huang,Y.,Li,K.S.,Lam,C.S.,Chan,K.H.,Zheng,B.J.,Yuen,K.Y.,Woo,P.C.Y.,Lau,S.K.P.,Xu,H.F.,Poon,R.W.S.,Guo,R.T.,Wong,B.H.L.,Li,K.S.M.","2007-02-07T00:00:00Z",,,"Bat coronavirus HKU5-3",424365,,,,"Chiroptera","Chiroptera","Chiroptera"
"EF065512","Merbecovirus","Betacoronavirus","Merbecovirus","","Bat coronavirus HKU5-5","HKU5-5","EF065512","GenBank accession provided","HKU5-5","supporting_tree_example","MERS-like bat merbecoviruses","keep_supporting_example","Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree","supporting_example","Bat coronavirus HKU5-5 | HKU5-5","Subgenus Merbecovirus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509494&lvl=3","host_link_and_zoonotic_potential_group","Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree","Added from the Merbecovirus taxonomy tree as a named HKU5 isolate variant. Manual nuccore lookup pinned accession EF065512.1.","EF065512.1","ok","stdout","COMPLETE","China: Guangdong province","Asia",,"Chiroptera",9397,"true","",,"",30487,9,"2007-02-07T00:00:00Z","GenBank","The University of Hong Kong, Microbiology","China","Woo,P.C.,Wang,M.,Lau,S.K.,Xu,H.,Poon,R.W.,Guo,R.,Wong,B.H.,Gao,K.,Tsoi,H.W.,Huang,Y.,Li,K.S.,Lam,C.S.,Chan,K.H.,Zheng,B.J.,Yuen,K.Y.,Woo,P.C.Y.,Lau,S.K.P.,Xu,H.F.,Poon,R.W.S.,Guo,R.T.,Wong,B.H.L.,Li,K.S.M.","2007-02-07T00:00:00Z",,,"Bat coronavirus HKU5-5",424366,,,,"Chiroptera","Chiroptera","Chiroptera"
"KX574227","Merbecovirus","Betacoronavirus","Merbecovirus","","Bat coronavirus isolate PREDICT/PDF-2180","PDF-2180","KX574227","Complete genome","PDF-2180","supporting_named_example","MERS-like bat merbecoviruses","keep_supporting_example","Named merbecovirus example highlighted for zoonotic-potential review","supporting_example","Bat coronavirus isolate PREDICT/PDF-2180 | PDF-2180","Subgenus Merbecovirus","https://ictv.global/taxonomy/taxondetails?taxnode_id=202506125&taxon_name=Merbecovirus","host_link_and_zoonotic_potential_group","Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Named merbecovirus example highlighted for zoonotic-potential review","Master list bat merbecovirus example. Restored with the GenBank accession KX574227.1; NC_034440.1 is the matching RefSeq companion if needed for later comparison.","KX574227.1","ok","stdout","COMPLETE","Uganda","Africa",,"Pipistrellus",27671,"true","",,"2013-02-20",29642,10,"2017-04-24T00:00:00Z","GenBank","Columbia University, Center for Infection and Immunity","USA","Anthony,S.J.,Gilardi,K.,Menachery,V.D.,Goldstein,T.,Ssebide,B.,Mbabazi,R.,Navarrete-Macias,I.,Liang,E.,Wells,H.,Hicks,A.,Petrosov,A.,Byarugaba,D.K.,Debbink,K.,Dinnon,K.H.,Scobey,T.,Randell,S.H.,Yount,B.L.,Cranfield,M.,Johnson,C.K.,Baric,R.S.,Lipkin,W.I.,Mazet,J.A.,Gilardi,K.V.,Wells,H.L.,Hicks,A.L.,Byarugaba,D.,Mazet,J.K.","2019-02-26T00:00:00Z",,,"Bat coronavirus",1508220,,,,"Pipistrellus","Pipistrellus","Pipistrellus"
"KJ473820","Merbecovirus","Betacoronavirus","Merbecovirus","","BtPa-BetaCoV/GD2013","BtPa-BetaCoV/GD2013","KJ473820","GenBank accession provided","GD2013","supporting_tree_example","MERS-like bat merbecoviruses","keep_supporting_example","Wildlife merbecovirus example promoted from the NCBI taxonomy tree","supporting_example","BtPa-BetaCoV/GD2013 | BtPa-BetaCoV/GD2013","Subgenus Merbecovirus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509494&lvl=3","host_link_and_zoonotic_potential_group","Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Wildlife merbecovirus example promoted from the NCBI taxonomy tree","Added from the Merbecovirus taxonomy tree as an HKU5-lineage supporting example. Manual nuccore lookup pinned accession KJ473820.1.","KJ473820.1","ok","stdout","COMPLETE","China","Asia",,"Pipistrellus abramus",105295,"true","",,"2013",30480,9,"2015-12-31T00:00:00Z","GenBank","Institute of Pathogen Biology, MOH Key Laboratory of Systems Biology of Pathogens","China","Wu,Z.,Yang,L.,Ren,X.,Zhang,J.,Yang,F.,Zhang,S.,Jin,Q.,He,G.,Yang,J.,Qian,Z.,Dong,J.,Sun,L.,Zhu,Y.,Du,J.","2017-07-07T00:00:00Z",,,"BtPa-BetaCoV/GD2013",1503295,,,,"Pipistrellus abramus","Pipistrellus abramus","Pipistrellus abramus"
"KJ473822","Merbecovirus","Betacoronavirus","Merbecovirus","","BtTp-BetaCoV/GX2012","BtTp-BetaCoV/GX2012","KJ473822","GenBank accession provided","GX2012","supporting_tree_example","MERS-like bat merbecoviruses","keep_supporting_example","Wildlife merbecovirus example promoted from the NCBI taxonomy tree","supporting_example","BtTp-BetaCoV/GX2012 | BtTp-BetaCoV/GX2012","Subgenus Merbecovirus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509494&lvl=3","host_link_and_zoonotic_potential_group","Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Wildlife merbecovirus example promoted from the NCBI taxonomy tree","Added from the Merbecovirus taxonomy tree as an HKU4-lineage supporting example. Manual nuccore lookup pinned accession KJ473822.1.","KJ473822.1","ok","stdout","COMPLETE","China","Asia",,"Tylonycteris pachypus",258959,"true","",,"2012",30247,9,"2015-12-31T00:00:00Z","GenBank","Institute of Pathogen Biology, MOH Key Laboratory of Systems Biology of Pathogens","China","Wu,Z.,Yang,L.,Ren,X.,Zhang,J.,Yang,F.,Zhang,S.,Jin,Q.,He,G.,Yang,J.,Qian,Z.,Dong,J.,Sun,L.,Zhu,Y.,Du,J.","2017-07-07T00:00:00Z",,,"BtTp-BetaCoV/GX2012",1503304,,,,"Tylonycteris pachypus","Tylonycteris pachypus","Tylonycteris pachypus"
"KJ473821","Merbecovirus","Betacoronavirus","Merbecovirus","","BtVs-BetaCoV/SC2013","BtVs-BetaCoV/SC2013","KJ473821","Complete genome","BtVs-BetaCoV/SC2013","supporting_named_example","MERS-like bat merbecoviruses","keep_supporting_example","Named merbecovirus example highlighted for zoonotic-potential review","supporting_example","BtVs-BetaCoV/SC2013 | BtVs-BetaCoV/SC2013","Subgenus Merbecovirus","https://ictv.global/taxonomy/taxondetails?taxnode_id=202506125&taxon_name=Merbecovirus","host_link_and_zoonotic_potential_group","Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Named merbecovirus example highlighted for zoonotic-potential review","Master list bat merbecovirus example from Vespertilio superans with an NCBI accession available for enrichment.","KJ473821.1","ok","stdout","COMPLETE","China","Asia",,"Vespertilio sinensis",105273,"true","",,"",30423,10,"2014-05-06T00:00:00Z","GenBank","Institute of Pathogen Biology, MOH Key Laboratory of Systems Biology of Pathogens","China","Yang,L.,Wu,Z.,Ren,X.,Yang,F.,Zhang,J.,He,G.,Dong,J.,Sun,L.,Zhu,Y.,Zhang,S.,Jin,Q.,Yang,J.,Qian,Z.,Du,J.","2017-07-07T00:00:00Z",,,"BtVs-BetaCoV/SC2013",1495253,,,,"Vespertilio sinensis","Vespertilio sinensis","Vespertilio sinensis"
"EU373658","Vesiculovirus","Vesiculovirus","","Vesiculovirus alagoas","vesicular stomatitis Alagoas virus","Indiana 3","EU373658","Complete genome","VSAV","supporting_example","Vesiculovirus review set","keep_supporting_example","ICTV vesiculovirus species candidate, not in the initial active vesicular-stomatitis pair","supporting_example","vesicular stomatitis Alagoas virus | Indiana 3","","","ICTV vesiculovirus species candidate, not in the initial active vesicular-stomatitis pair","ICTV vesiculovirus species candidate, not in the initial active vesicular-stomatitis pair","Useful supporting species for later Vesiculovirus review.","ICTV vesiculovirus species candidate, not in the initial active vesicular-stomatitis pair","Useful supporting species for later Vesiculovirus review.","EU373658.1","ok","stdout","COMPLETE","Brazil","South America",,"Equus asinus x Equus caballus",319699,"","",,"1964",11070,5,"2008-06-11T00:00:00Z","GenBank","Plum Island Animal Disease Center, ARS","USA","Pauszek,S.J.,Allende,R.,Rodriguez,L.L.","2008-06-23T00:00:00Z",,,"Vesicular stomatitis Alagoas virus",198833,,,,"Equus asinus x Equus caballus","Equus asinus x Equus caballus","Equus asinus x Equus caballus"
"MT726044","Sarbecovirus","Betacoronavirus","Sarbecovirus","","Bat coronavirus isolate PREDICT/PDF-2370/OTBA35RSV","PDF-2370","MT726044","Complete genome","PDF-2370","supporting_named_example","SARS-like bat sarbecoviruses","keep_supporting_example","Named sarbecovirus example highlighted for zoonotic-potential review","supporting_example","Bat coronavirus isolate PREDICT/PDF-2370/OTBA35RSV | PDF-2370","Subgenus Sarbecovirus","https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus","host_link_and_zoonotic_potential_group","Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Named sarbecovirus example highlighted for zoonotic-potential review","Master list bat sarbecovirus example. Restored with the NCBI accession MT726044.1, but keep in mind the record metadata should still be manually reconciled against Master list shorthand location description.","MT726044.1","ok","stdout","COMPLETE","Uganda","Africa",,"Rhinolophus",49442,"true","",,"2013-05-30",29243,9,"2021-04-06T00:00:00Z","GenBank","Columbia University, Center for Infection and Immunity, Mailman School of Public Health","USA","Wells,H.L.,Letko,M.,Lasso,G.,Ssebide,B.,Nziza,J.,Byarugaba,D.K.,Navarrete-Macias,I.,Liang,E.,Cranfield,M.,Han,B.A.,Tingley,M.W.,Diuk-Wasser,M.,Goldstein,T.,Johnson,C.K.,Mazet,J.A.K.,Chandran,K.,Munster,V.J.,Gilardi,K.,Anthony,S.J.,Mazet,J.","2022-07-08T00:00:00Z",,,"Bat coronavirus",1508220,,,,"Rhinolophus","Rhinolophus","Rhinolophus"
"MN908947","Sarbecovirus","Betacoronavirus","Sarbecovirus","Betacoronavirus pandemicum","severe acute respiratory syndrome coronavirus 2","Wuhan-Hu-1","MN908947","Complete genome","SARS-CoV-2","active_unit_exemplar","SARS-CoV-2","keep_active","ICTV exemplar for SARS-CoV-2","active_unit","severe acute respiratory syndrome coronavirus 2 | Wuhan-Hu-1 | MN908947","Subgenus Sarbecovirus","https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus","ICTV exemplar for SARS-CoV-2","ICTV exemplar for SARS-CoV-2","Formal ICTV exemplar row for the COVID-19 virus.","ICTV exemplar for SARS-CoV-2","Formal ICTV exemplar row for the COVID-19 virus.","MN908947.3","ok","stdout","COMPLETE","China","Asia",,"Homo sapiens",9606,"true","",,"2019-12",29903,10,"2020-01-12T00:00:00Z","GenBank","Fudan University, Shanghai Public Health Clinical Center & School of Public Health","China","Wu,F.,Zhao,S.,Yu,B.,Chen,Y.M.,Wang,W.,Song,Z.G.,Hu,Y.,Tao,Z.W.,Tian,J.H.,Pei,Y.Y.,Yuan,M.L.,Zhang,Y.L.,Dai,F.H.,Liu,Y.,Wang,Q.M.,Zheng,J.J.,Xu,L.,Holmes,E.C.,Zhang,Y.Z.,Chen,Y.-M.,Song,Z.-G.,Tao,Z.-W.,Tian,J.-H.,Pei,Y.-Y.,Zhang,Y.-L.,Dai,F.-H.,Wang,Q.-M.,Zheng,J.-J.,Zhang,Y.-Z.","2020-03-18T00:00:00Z",,,"Severe acute respiratory syndrome coronavirus 2",2697049,,,,"Homo sapiens","Homo sapiens","Homo sapiens"
"KY352407","Sarbecovirus","Betacoronavirus","Sarbecovirus","Betacoronavirus pandemicum","severe acute respiratory syndrome-related coronavirus","BtKY72","KY352407","Complete genome","SARSr-CoV","wildlife_group_exemplar","SARS-like bat sarbecoviruses","keep_active","ICTV exemplar for a bat sarbecovirus candidate group","active_unit","severe acute respiratory syndrome-related coronavirus | BtKY72 | KY352407","Subgenus Sarbecovirus","https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus","host_link_and_zoonotic_potential_group","Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","ICTV exemplar for a bat sarbecovirus candidate group","Keep as the bat-sarbecovirus group exemplar while collecting additional NCBI names and host data.","KY352407.1","ok","stdout","COMPLETE","Kenya","Africa",,"Rhinolophus",49442,"true","",,"2007-08",29274,10,"2018-12-31T00:00:00Z","GenBank","Centers for Disease Control and Prevention, Division of Viral Diseases","USA","Tao,Y.,Tong,S.,Chommanard,C.,Kuzmin,I.","2020-02-05T00:00:00Z",,,"Severe acute respiratory syndrome-related coronavirus",694009,,,,"Rhinolophus","Rhinolophus","Rhinolophus"
"AY613950","Sarbecovirus","Betacoronavirus","Sarbecovirus","Betacoronavirus pandemicum","SARS coronavirus","PC4-227","AY613950","Complete genome","SARS-CoV","supporting_exemplar","SARS-CoV-1","keep_supporting_example","Second ICTV exemplar for SARS-CoV-1","supporting_example","SARS coronavirus | PC4-227","Subgenus Sarbecovirus","https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus","Second ICTV exemplar for SARS-CoV-1","Second ICTV exemplar for SARS-CoV-1","Use as supporting evidence for the SARS-CoV-1 analytic unit.","Second ICTV exemplar for SARS-CoV-1","Use as supporting evidence for the SARS-CoV-1 analytic unit.","AY613950.1","ok","stdout","COMPLETE","China","Asia",,"Paradoxurus hermaphroditus",71117,"","",,"",29728,,"2005-01-28T00:00:00Z","GenBank","Shanghai Institute of Hematology","China","Song,H.D.,Tu,C.C.,Zhang,G.W.,Wang,S.Y.,Zheng,K.,Lei,L.C.,Chen,Q.X.,Gao,Y.W.,Zhou,H.Q.,Xiang,H.,Zheng,H.J.,Chern,S.W.,Cheng,F.,Pan,C.M.,Xuan,H.,Chen,S.J.,Luo,H.M.,Zhou,D.H.,Liu,Y.F.,He,J.F.,Qin,P.Z.,Li,L.H.,Ren,Y.Q.,Liang,W.J.,Yu,Y.D.,Anderson,L.,Wang,M.,Xu,R.H.,Wu,X.W.,Zheng,H.Y.,Chen,J.D.,Liang,G.,Gao,Y.,Liao,M.,Fang,L.,Jiang,L.Y.,Li,H.,Chen,F.,Di,B.,He,L.J.,Lin,J.Y.,Tong,S.,Kong,X.,Du,L.,Hao,P.,Tang,H.,Bernini,A.,Yu,X.J.,Spiga,O.,Guo,Z.M.,Pan,H.Y.,He,W.Z.,Manuguerra,J.C.,Fontanet,A.,Danchin,A.,Niccolai,N.,Li,Y.X.,Wu,C.I.,Zhao,G.P.","2005-02-28T00:00:00Z",,,"SARS coronavirus PC4-227",293936,,,,"Paradoxurus hermaphroditus","Paradoxurus hermaphroditus","Paradoxurus hermaphroditus"
"DQ071615","Sarbecovirus","Betacoronavirus","Sarbecovirus","","Bat SARS CoV Rp3/2004","Rp3/2004","DQ071615","Complete genome","Rp3","supporting_tree_example","SARS-like bat sarbecoviruses","keep_supporting_example","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","supporting_example","Bat SARS CoV Rp3/2004 | Rp3/2004","Subgenus Sarbecovirus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=694009&lvl=","host_link_and_zoonotic_potential_group","Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","Added as a classic bat SARS-related coronavirus genome commonly used in comparative sarbecovirus analyses.","DQ071615.1","ok","stdout","COMPLETE","China","Asia",,"Chiroptera",9397,"true","",,"",29736,13,"2005-10-05T00:00:00Z","GenBank","Wuhan Institute of Virology, Chinese Academy of Science","China","Li,W.,Shi,Z.,Yu,M.,Ren,W.,Smith,C.,Epstein,J.H.,Wang,H.,Crameri,G.,Hu,Z.,Zhang,H.,Zhang,J.,McEachern,J.,Field,H.,Daszak,P.,Eaton,B.T.,Zhang,S.,Wang,L.F.,Wang,L.-F.","2006-01-25T00:00:00Z",,,"Bat SARS CoV Rp3/2004",349344,,,,"Chiroptera","Chiroptera","Chiroptera"
"DQ022305","Sarbecovirus","Betacoronavirus","Sarbecovirus","","Bat SARS coronavirus HKU3-1","HKU3-1","DQ022305","Complete genome","HKU3","supporting_tree_example","SARS-like bat sarbecoviruses","keep_supporting_example","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","supporting_example","Bat SARS coronavirus HKU3-1 | HKU3-1","Subgenus Sarbecovirus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=694009&lvl=","host_link_and_zoonotic_potential_group","Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Wildlife sarbecovirus example promoted from the NCBI taxonomy tree","Added as a representative HKU3 lineage example from the Sarbecovirus taxonomy tree using the commonly cited complete-genome accession DQ022305.2.","DQ022305.2","ok","stdout","COMPLETE","China","Asia",,"",,"true","",,"",29728,11,"2005-09-23T00:00:00Z","GenBank","The University of Hong Kong, Department of Microbiology","China","Lau,S.K.,Woo,P.C.,Li,K.S.,Huang,Y.,Tsoi,H.W.,Wong,B.H.,Wong,S.S.,Leung,S.Y.,Chan,K.H.,Yuen,K.Y.,Lau,S.K.P.,Woo,P.C.Y.,Li,K.S.M.","2005-10-25T00:00:00Z",,,"Bat SARS coronavirus HKU3-1",333387,,,,"","",""
"KC881006","Sarbecovirus","Betacoronavirus","Sarbecovirus","","Bat SARS-like coronavirus Rs3367","Rs3367","KC881006","Complete genome","Rs3367","supporting_named_example","SARS-like bat sarbecoviruses","keep_supporting_example","Named sarbecovirus example highlighted for zoonotic-potential review","supporting_example","Bat SARS-like coronavirus Rs3367 | Rs3367","Subgenus Sarbecovirus","https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus","host_link_and_zoonotic_potential_group","Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Named sarbecovirus example highlighted for zoonotic-potential review","Master list bat sarbecovirus example from Rhinolophus sinicus.","KC881006.1","ok","stdout","COMPLETE","China","Asia",,"Rhinolophus sinicus",89399,"true","",,"2012-03-19",29792,12,"2013-11-06T00:00:00Z","GenBank","Chinese Academy of Sciences, Wuhan Institute of Virology","China","Ge,X.Y.,Li,J.L.,Yang,X.L.,Chmura,A.A.,Zhu,G.,Epstein,J.H.,Mazet,J.K.,Hu,B.,Zhang,W.,Peng,C.,Zhang,Y.J.,Luo,C.M.,Tan,B.,Wang,N.,Zhu,Y.,Crameri,G.,Zhang,S.Y.,Wang,L.F.,Daszak,P.,Shi,Z.L.,Ge,X.-Y.,Li,J.-L.,Yang,X.-L.,Zhang,Y.-J.,Luo,C.-M.,Wang,L.-F.,Shi,Z.-L.","2013-11-22T00:00:00Z",,,"Bat SARS-like coronavirus Rs3367",1415834,,,,"Rhinolophus sinicus","Rhinolophus sinicus","Rhinolophus sinicus"
"KC881005","Sarbecovirus","Betacoronavirus","Sarbecovirus","","Bat SARS-like coronavirus RsSHC014","RsSHC014","KC881005","Complete genome","RsSHC014","supporting_named_example","SARS-like bat sarbecoviruses","keep_supporting_example","Named sarbecovirus example highlighted for zoonotic-potential review","supporting_example","Bat SARS-like coronavirus RsSHC014 | RsSHC014","Subgenus Sarbecovirus","https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus","host_link_and_zoonotic_potential_group","Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Named sarbecovirus example highlighted for zoonotic-potential review","Master list bat sarbecovirus example from Rhinolophus sinicus. Shares an accession with the SHC014 naming variant.","KC881005.1","ok","stdout","COMPLETE","China","Asia",,"Rhinolophus sinicus",89399,"true","",,"2011-04-17",29787,12,"2013-11-06T00:00:00Z","GenBank","Chinese Academy of Sciences, Wuhan Institute of Virology","China","Ge,X.Y.,Li,J.L.,Yang,X.L.,Chmura,A.A.,Zhu,G.,Epstein,J.H.,Mazet,J.K.,Hu,B.,Zhang,W.,Peng,C.,Zhang,Y.J.,Luo,C.M.,Tan,B.,Wang,N.,Zhu,Y.,Crameri,G.,Zhang,S.Y.,Wang,L.F.,Daszak,P.,Shi,Z.L.,Ge,X.-Y.,Li,J.-L.,Yang,X.-L.,Zhang,Y.-J.,Luo,C.-M.,Wang,L.-F.,Shi,Z.-L.","2013-11-22T00:00:00Z",,,"Bat SARS-like coronavirus RsSHC014",1415851,,,,"Rhinolophus sinicus","Rhinolophus sinicus","Rhinolophus sinicus"
"KC881005","Sarbecovirus","Betacoronavirus","Sarbecovirus","","Bat SARS-like coronavirus SHC014","SHC014","KC881005","Complete genome","SHC014","supporting_named_example","SARS-like bat sarbecoviruses","keep_supporting_example","Named sarbecovirus example highlighted for zoonotic-potential review","supporting_example","Bat SARS-like coronavirus SHC014 | SHC014","Subgenus Sarbecovirus","https://ictv.global/taxonomy/taxondetails?taxnode_id=202506129&taxon_name=Sarbecovirus","host_link_and_zoonotic_potential_group","Retained as an active wildlife sarbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.","Treat the listed viruses as supporting examples inside this group rather than splitting further for now.","Named sarbecovirus example highlighted for zoonotic-potential review","Master list SHC014 example. Uses the same NCBI accession as the RsSHC014 naming variant and should be treated as an alias-level supporting row for now.","KC881005.1","ok","stdout","COMPLETE","China","Asia",,"Rhinolophus sinicus",89399,"true","",,"2011-04-17",29787,12,"2013-11-06T00:00:00Z","GenBank","Chinese Academy of Sciences, Wuhan Institute of Virology","China","Ge,X.Y.,Li,J.L.,Yang,X.L.,Chmura,A.A.,Zhu,G.,Epstein,J.H.,Mazet,J.K.,Hu,B.,Zhang,W.,Peng,C.,Zhang,Y.J.,Luo,C.M.,Tan,B.,Wang,N.,Zhu,Y.,Crameri,G.,Zhang,S.Y.,Wang,L.F.,Daszak,P.,Shi,Z.L.,Ge,X.-Y.,Li,J.-L.,Yang,X.-L.,Zhang,Y.-J.,Luo,C.-M.,Wang,L.-F.,Shi,Z.-L.","2013-11-22T00:00:00Z",,,"Bat SARS-like coronavirus RsSHC014",1415851,,,,"Rhinolophus sinicus","Rhinolophus sinicus","Rhinolophus sinicus"
